tenant_id,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,2195515715251378.2,137056657965801.66,95588345896363.77,327993103429438.75,288093338822870.6
tenant-dsk,137056657965801.66,2143639951293754.5,165613076412810.8,415052448061506.1,-169626989487111.66
tenant-mem,95588345896363.77,165613076412810.8,2106779922909019.0,74442963990476.34,165966590445525.88
tenant-nsy,327993103429438.75,415052448061506.1,74442963990476.34,4921735684495826.0,-183750851835905.06
tenant-ntk,288093338822870.6,-169626989487111.66,165966590445525.88,-183750851835905.06,2087595276014298.5
