tenant_id,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,57933.765039941536,823652.9967572418,20305.08642815999,175716.89309450678
tenant-dsk,823652.9967572418,94361061.70742938,1431253.9771050382,-19797838.57117669
tenant-mem,20305.08642815999,1431253.9771050382,70401.26964457544,-699242.3633031622
tenant-ntk,175716.89309450678,-19797838.57117669,-699242.3633031622,626203181.7846634
