tenant1,tenant2,covariance,metric,phase,round_id
tenant-dsk,tenant-nsy,-0.00302180462071521,cpu_usage,7-Recovery,round-3
tenant-dsk,tenant-ntk,0.011281643922963836,cpu_usage,7-Recovery,round-3
tenant-mem,tenant-nsy,-0.14092409377757475,cpu_usage,7-Recovery,round-3
tenant-mem,tenant-ntk,0.013607912986698,cpu_usage,7-Recovery,round-3
tenant-nsy,tenant-ntk,0.007142008525464677,cpu_usage,7-Recovery,round-3
tenant-cpu,tenant-dsk,-19052818272872.438,memory_usage,1-Baseline,round-3
tenant-cpu,tenant-mem,-27707518732071.594,memory_usage,1-Baseline,round-3
tenant-cpu,tenant-ntk,26257818019136.133,memory_usage,1-Baseline,round-3
tenant-dsk,tenant-mem,105070646709011.38,memory_usage,1-Baseline,round-3
tenant-dsk,tenant-ntk,-285988801249675.4,memory_usage,1-Baseline,round-3
tenant-mem,tenant-ntk,55377456660050.15,memory_usage,1-Baseline,round-3
tenant-cpu,tenant-dsk,-438659559375308.44,memory_usage,2-CPU-Noise,round-3
tenant-cpu,tenant-mem,339828703798030.25,memory_usage,2-CPU-Noise,round-3
tenant-cpu,tenant-nsy,436238041434752.5,memory_usage,2-CPU-Noise,round-3
tenant-cpu,tenant-ntk,255148832719549.22,memory_usage,2-CPU-Noise,round-3
tenant-dsk,tenant-mem,-224522411718109.6,memory_usage,2-CPU-Noise,round-3
tenant-dsk,tenant-nsy,-252974224166009.88,memory_usage,2-CPU-Noise,round-3
tenant-dsk,tenant-ntk,-505267477928787.94,memory_usage,2-CPU-Noise,round-3
tenant-mem,tenant-nsy,91787384255297.23,memory_usage,2-CPU-Noise,round-3
tenant-mem,tenant-ntk,137881263847712.48,memory_usage,2-CPU-Noise,round-3
tenant-nsy,tenant-ntk,-159228527773269.78,memory_usage,2-CPU-Noise,round-3
tenant-cpu,tenant-dsk,329374470807770.25,memory_usage,3-Memory-Noise,round-3
tenant-cpu,tenant-mem,-339859220923970.6,memory_usage,3-Memory-Noise,round-3
tenant-cpu,tenant-nsy,-144436279037404.2,memory_usage,3-Memory-Noise,round-3
tenant-cpu,tenant-ntk,336412890362775.44,memory_usage,3-Memory-Noise,round-3
tenant-dsk,tenant-mem,-350562946728636.6,memory_usage,3-Memory-Noise,round-3
tenant-dsk,tenant-nsy,-165797781417132.3,memory_usage,3-Memory-Noise,round-3
