,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk,tenant-nsy
tenant-cpu,,0.021242724830796724,0.02968689914239695,0.022710442014933118,0.017953025677535952
tenant-dsk,0.018336726655385133,,0.14681712296733795,0.14155906699937199,0.11166257104336874
tenant-mem,0.022323349546921195,0.249022366345617,,0.30330265603062434,0.3244537914715339
tenant-ntk,0.0045907446571819945,0.06969993764695778,0.15876847339672856,,0.13852342045043092
tenant-nsy,0.0008912496176559231,0.0493906935464772,0.15823655079037577,0.09255647434462276,
