,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk,tenant-nsy
tenant-cpu,,0.4325255118749295,0.15049980145506212,0.696751219931853,0.7427426533158931
tenant-dsk,0.4413877858621802,,0.08031592799772722,0.9023083516923153,0.023643805898151748
tenant-mem,0.21465763345575267,0.4208958079202416,,0.8920074499288019,0.044608206196591116
tenant-ntk,0.2520674005847625,0.5814047589730991,0.5043411496689261,,0.15406282399895946
tenant-nsy,0.6856552138436747,0.38280214279837743,0.08285567404370085,0.5422774512752373,
