,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk,tenant-nsy
tenant-cpu,,0.002947369223931902,0.009124051162602911,0.002155813707709396,0.6243975572659426
tenant-dsk,0.07079559352308297,,0.014094939589074295,6.047835102274315e-05,0.06642926862096904
tenant-mem,0.06405408909892887,0.0004544326542239625,,1.699100133066242e-05,0.3786493971171718
tenant-ntk,0.04250685198023507,0.008134479783057681,0.003800880813198784,,0.3830722718178619
tenant-nsy,0.37351096065657674,0.10327143498778453,0.4898746958670288,0.09867975952584386,
