,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk,tenant-nsy
tenant-cpu,,0.3571643081854108,0.14227525288298315,0.7880517324078352,0.011387159116742195
tenant-dsk,0.03645379400208701,,0.0007657230377592933,0.002100011033835173,0.002384262612202451
tenant-mem,0.19231065287948082,0.08326204088876767,,0.008182473456139065,2.2858854546186218e-05
tenant-ntk,0.03703374339801496,6.151804520249529e-07,2.378996738274258e-12,,6.567343986431689e-06
tenant-nsy,9.835182742090694e-05,2.4751562137908718e-08,4.375791865233924e-05,0.04590640648296418,
