source,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,0.0,36.0,32.0,24.0,34.0
tenant-dsk,27.0,0.0,31.0,29.0,30.0
tenant-mem,28.0,35.0,0.0,25.0,39.0
tenant-nsy,21.0,29.0,21.0,0.0,21.0
tenant-ntk,37.0,35.0,31.0,28.0,0.0
