source,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,0.0,26.0,24.0,29.0,29.0
tenant-dsk,34.0,0.0,33.0,24.0,35.0
tenant-mem,34.0,33.0,0.0,25.0,29.0
tenant-nsy,28.0,30.0,25.0,0.0,26.0
tenant-ntk,33.0,38.0,36.0,30.0,0.0
