,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,,2.4318487417404735e-06,0.0013440737828082443,5.18797277338551e-16,2.3175803363761338e-09
tenant-dsk,1.6357776988367083e-06,,0.0001717804694863116,4.1530262816797714e-05,0.00016800923545574317
tenant-mem,2.1509478852029936e-07,0.00017202199117972845,,1.1204425106099931e-29,5.413833515875383e-10
tenant-nsy,3.8507288165527957e-13,0.00017406614111968499,8.324795287880426e-17,,4.080862385126598e-11
tenant-ntk,1.7870982625350127e-05,0.08071382184614606,0.14887715461572348,7.981838893617918e-07,
