method,metric,phase,source,target,neg_log_p,p-value,score,num_rounds
granger,cpu_usage,1-Baseline,tenant-cpu,tenant-dsk,4.113917404854858,0.012076997033791104,,10
granger,cpu_usage,1-Baseline,tenant-cpu,tenant-mem,3.950115808999775,0.0178545668727467,,10
granger,cpu_usage,1-Baseline,tenant-cpu,tenant-ntk,5.076424012595627,0.0020727695285481223,,10
granger,cpu_usage,1-Baseline,tenant-dsk,tenant-cpu,2.533792155051308,0.017200972674753474,,10
granger,cpu_usage,1-Baseline,tenant-dsk,tenant-mem,2.4863356535330547,0.09496051895256538,,10
granger,cpu_usage,1-Baseline,tenant-dsk,tenant-ntk,2.1626262574224064,0.03336064769914139,,10
granger,cpu_usage,1-Baseline,tenant-mem,tenant-cpu,2.7421313182278313,0.07273863459131572,,10
granger,cpu_usage,1-Baseline,tenant-mem,tenant-dsk,4.398191162643034,0.0031608275543753366,,10
granger,cpu_usage,1-Baseline,tenant-mem,tenant-ntk,4.71245391961509,0.03170362888116134,,10
granger,cpu_usage,1-Baseline,tenant-ntk,tenant-cpu,6.427319417508424,0.001649078805509167,,10
granger,cpu_usage,1-Baseline,tenant-ntk,tenant-dsk,6.389550313433049,6.506855040511558e-05,,10
granger,cpu_usage,1-Baseline,tenant-ntk,tenant-mem,6.300236303610845,9.71640136459276e-06,,10
granger,cpu_usage,2-CPU-Noise,tenant-cpu,tenant-dsk,5.213284642548855,0.02094765920599461,,10
granger,cpu_usage,2-CPU-Noise,tenant-cpu,tenant-mem,4.458710353013169,0.027200047159474067,,10
granger,cpu_usage,2-CPU-Noise,tenant-cpu,tenant-nsy,8.258286186740445,0.005785594801355422,,10
granger,cpu_usage,2-CPU-Noise,tenant-cpu,tenant-ntk,2.8523595001682347,0.028210056759098646,,10
granger,cpu_usage,2-CPU-Noise,tenant-dsk,tenant-cpu,3.104847766963048,0.004065638756394505,,10
granger,cpu_usage,2-CPU-Noise,tenant-dsk,tenant-mem,3.032425154172422,0.03144500523200625,,10
granger,cpu_usage,2-CPU-Noise,tenant-dsk,tenant-nsy,3.5866914040104496,0.009201982694981004,,10
granger,cpu_usage,2-CPU-Noise,tenant-dsk,tenant-ntk,1.3804360512767202,0.20883945916403554,,10
granger,cpu_usage,2-CPU-Noise,tenant-mem,tenant-cpu,5.0282838760939494,0.0008260962333119199,,10
granger,cpu_usage,2-CPU-Noise,tenant-mem,tenant-dsk,3.902175139276647,0.002089023527172651,,10
granger,cpu_usage,2-CPU-Noise,tenant-mem,tenant-nsy,7.816436062563528,0.0017264433497622684,,10
granger,cpu_usage,2-CPU-Noise,tenant-mem,tenant-ntk,2.724244035280268,0.019414403492056007,,10
granger,cpu_usage,2-CPU-Noise,tenant-nsy,tenant-cpu,9.60075384966921,0.00012598542678421816,,10
granger,cpu_usage,2-CPU-Noise,tenant-nsy,tenant-dsk,4.887758329720202,0.0012019591850935066,,10
granger,cpu_usage,2-CPU-Noise,tenant-nsy,tenant-mem,8.234510178173647,8.684008623443707e-05,,10
