phase,metric,source,target,mean_p_value,mean_score,significant_frequency,mean_correlation,source_mean_percentage_change,target_mean_percentage_change,risk_index
1-Baseline,cpu_usage,tenant-cpu,tenant-dsk,0.0120769970337911,0.1859502533516921,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-cpu,tenant-mem,0.0178545668727467,0.297457321789833,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-cpu,tenant-ntk,0.0020727695285481,0.1838423542194792,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-dsk,tenant-cpu,0.0172009726747534,0.2361442649617197,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-dsk,tenant-mem,0.0949605189525653,0.2431945520866679,0,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-dsk,tenant-ntk,0.0333606476991413,0.1454083014602021,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-mem,tenant-cpu,0.0727386345913157,0.2898733053551218,0,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-mem,tenant-dsk,0.0031608275543753,0.1777717631694576,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-mem,tenant-ntk,0.0317036288811613,0.1915848997466432,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-ntk,tenant-cpu,0.0016490788055091,0.2493446826529962,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-ntk,tenant-dsk,6.506855040511558e-05,0.1415921394611617,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-ntk,tenant-mem,9.71640136459276e-06,0.2522628525905787,1,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-cpu,tenant-dsk,0.3475876909010792,0.0165830303220562,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-cpu,tenant-mem,0.1957811285757252,0.1975741359243785,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-cpu,tenant-ntk,0.2029177709389979,0.2188144435168361,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-dsk,tenant-cpu,0.2484137019400602,0.0433889145369206,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-dsk,tenant-mem,0.4136153212624586,0.0405131368834545,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-dsk,tenant-ntk,0.2170167291694888,0.052843457762504,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-mem,tenant-cpu,0.1097334900960665,0.1815563601626177,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-mem,tenant-dsk,0.2802596556093367,0.0134268970031534,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-mem,tenant-ntk,0.1044751555897081,0.2155508367184321,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-ntk,tenant-cpu,0.0297893972990848,0.1805205501652272,1,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-ntk,tenant-dsk,0.2612936987828771,0.0131655812942781,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-ntk,tenant-mem,0.1090301586850506,0.2056113107046167,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-cpu,tenant-dsk,0.4852841611038138,0.1357059130259824,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-cpu,tenant-mem,0.6393329999962987,0.2387249975078144,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-cpu,tenant-ntk,0.6141335119228686,0.1829763419686087,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-dsk,tenant-cpu,0.6162009824013472,0.1705303301552843,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-dsk,tenant-mem,0.5249818209871892,0.1953328256754443,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-dsk,tenant-ntk,0.4938238787548741,0.1452542003546789,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-mem,tenant-cpu,0.5969517705070173,0.2390420300279983,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-mem,tenant-dsk,0.5209001597139,0.137871715686783,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-mem,tenant-ntk,0.6064801804323194,0.1732015383517098,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-ntk,tenant-cpu,0.781307042551413,0.2036278565156077,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-ntk,tenant-dsk,0.7082929972800069,0.1187683876052378,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-ntk,tenant-mem,0.4926451164671664,0.2117328673962027,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-cpu,tenant-dsk,0.2802238099344705,0.0130310919093279,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-cpu,tenant-mem,0.2551947315208277,0.1461119850685096,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-cpu,tenant-ntk,0.2496797977409101,0.1881843011269955,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-dsk,tenant-cpu,0.0733178151609872,0.0330149209232692,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-dsk,tenant-mem,0.0760260619246934,0.0348886599974827,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-dsk,tenant-ntk,0.2995058372174841,0.0377679190471137,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-mem,tenant-cpu,0.2122478517582521,0.1688424573699903,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-mem,tenant-dsk,0.3078336903789064,0.0167187602347058,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-mem,tenant-ntk,0.1934201796539094,0.1715391202911567,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-ntk,tenant-cpu,0.0725186771841455,0.1735757075025387,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-ntk,tenant-dsk,0.3794500859368588,0.0179412977124655,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-ntk,tenant-mem,0.1679066012272248,0.1725913933643399,0,0.0,0.0,0.0,0.0
2-CPU-Noise,cpu_usage,tenant-cpu,tenant-dsk,0.0209476592059946,0.2657258000020654,1,0.0,-32.622660373079505,-5.156562207189536,5.156562207189536
2-CPU-Noise,cpu_usage,tenant-cpu,tenant-mem,0.027200047159474,0.1158271615412706,1,0.0,-32.622660373079505,-32.44421819649061,32.44421819649061
2-CPU-Noise,cpu_usage,tenant-cpu,tenant-nsy,0.0057855948013554,0.0796009937958309,1,0.0,-32.622660373079505,0.0,0.0
2-CPU-Noise,cpu_usage,tenant-cpu,tenant-ntk,0.0282100567590986,0.2513490582570335,1,0.0,-32.622660373079505,-1.3776990141414005,1.3776990141414005
