tenant_id,metric_name,experimental_phase,mean,volatility,baseline_mean,percentage_change,p_value,is_significant
tenant-cpu,cpu_usage,2 - CPU Noise,0.0009360412345705114,0.00013281074439643975,0.42832188463790904,-99.78146313131727,8.835767936099775e-06,True
tenant-cpu,cpu_usage,3 - Memory Noise,0.0009251164297871588,0.00013924183142365848,0.42832188463790904,-99.7840137375728,8.831551996962105e-06,True
tenant-cpu,cpu_usage,4 - Network Noise,0.001174505142656003,0.00020088821796593068,0.42832188463790904,-99.72578913551222,8.928282885652974e-06,True
tenant-cpu,cpu_usage,5 - Disk Noise,0.0012108751802785273,0.00022455314541235994,0.42832188463790904,-99.71729784918598,8.942475765335413e-06,True
tenant-cpu,cpu_usage,6 - Combined Noise,0.0010369793553824697,0.0001642532721170035,0.42832188463790904,-99.75789718140152,8.874814010629777e-06,True
tenant-cpu,cpu_usage,7 - Recovery,0.0009954700306531998,0.00016339948685990818,0.42832188463790904,-99.76758833336412,8.858737781515506e-06,True
tenant-cpu,disk_throughput_total,2 - CPU Noise,0.0,0.0,99.17735271911319,-100.0,0.008754095116203358,True
tenant-cpu,disk_throughput_total,3 - Memory Noise,0.0,0.0,99.17735271911319,-100.0,0.008754095116203358,True
tenant-cpu,disk_throughput_total,4 - Network Noise,0.0,0.0,99.17735271911319,-100.0,0.008754095116203358,True
tenant-cpu,disk_throughput_total,5 - Disk Noise,0.0,0.0,99.17735271911319,-100.0,0.008754095116203358,True
tenant-cpu,disk_throughput_total,6 - Combined Noise,0.0,0.0,99.17735271911319,-100.0,0.008754095116203358,True
tenant-cpu,disk_throughput_total,7 - Recovery,0.0,0.0,99.17735271911319,-100.0,0.008754095116203358,True
tenant-cpu,memory_usage,2 - CPU Noise,2185266.9452736317,97901.34877396739,2886082.56,-24.282590679816458,0.0001822939322997264,True
tenant-cpu,memory_usage,3 - Memory Noise,2172123.064676617,43162.28636577069,2886082.56,-24.738013569625092,0.00013927600146579122,True
tenant-cpu,memory_usage,4 - Network Noise,2168010.720812183,52473.42586440465,2886082.56,-24.880502350834245,0.00012833770127537806,True
tenant-cpu,memory_usage,5 - Disk Noise,2162472.4210526315,32807.89773790016,2886082.56,-25.07239913980037,0.00011458326576670031,True
tenant-cpu,memory_usage,6 - Combined Noise,2160384.0,12578.540755559352,2886082.56,-25.144760931579174,0.00010973671585394015,True
tenant-cpu,memory_usage,7 - Recovery,2165040.1584158414,38647.432593312726,2886082.56,-24.983429496353654,0.00012089465240166292,True
tenant-cpu,network_total_bandwidth,2 - CPU Noise,36.11222664551431,4.407255621473714,36.65414293990156,-1.4784585067935698,0.3709490756493412,False
tenant-cpu,network_total_bandwidth,3 - Memory Noise,36.72583555210806,4.241515996678796,36.65414293990156,0.19559211171311627,0.9047423849809411,False
tenant-cpu,network_total_bandwidth,4 - Network Noise,37.14139126104336,4.08042012035922,36.65414293990156,1.3293130927674262,0.4135323238115116,False
tenant-cpu,network_total_bandwidth,5 - Disk Noise,36.539192530933065,3.8529741834745095,36.65414293990156,-0.31360823019916295,0.8454085923166023,False
tenant-cpu,network_total_bandwidth,6 - Combined Noise,36.224506273186286,4.009420220744953,36.65414293990156,-1.1721367143127892,0.47003828838472206,False
tenant-cpu,network_total_bandwidth,7 - Recovery,36.5410205178676,3.7562198650413703,36.65414293990156,-0.30862110790432845,0.8596258593554229,False
tenant-dsk,cpu_usage,2 - CPU Noise,0.021012275591933343,0.0015286754493664904,0.02081098135710407,0.9672500848238839,0.5380934032226591,False
tenant-dsk,cpu_usage,3 - Memory Noise,0.02036707607884958,0.0016293418286223516,0.02081098135710407,-2.1330338566804685,0.17895521058294875,False
tenant-dsk,cpu_usage,4 - Network Noise,0.021060575658752124,0.0017552680172181797,0.02081098135710407,1.1993394130010628,0.45384354515171355,False
tenant-dsk,cpu_usage,5 - Disk Noise,0.022517856698904756,0.002004584908519045,0.02081098135710407,8.20180131110455,1.5716840736038458e-06,True
tenant-dsk,cpu_usage,6 - Combined Noise,0.022112575155181852,0.0018302940168808896,0.02081098135710407,6.25436050200231,0.0001594095315202277,True
tenant-dsk,cpu_usage,7 - Recovery,0.021303454255213333,0.00173694884323539,0.02081098135710407,2.366408818780427,0.16487354687045536,False
tenant-dsk,disk_throughput_total,2 - CPU Noise,2216.4089093426214,190.49865902790862,3685.7044715705333,-39.864714427356766,3.850236565867517e-05,True
tenant-dsk,disk_throughput_total,3 - Memory Noise,2256.673697397439,200.3480231803679,3685.7044715705333,-38.772256028551396,6.0130136998768e-05,True
tenant-dsk,disk_throughput_total,4 - Network Noise,2313.4214201423024,184.65019002885012,3685.7044715705333,-37.23258503261063,0.00011095920303914441,True
tenant-dsk,disk_throughput_total,5 - Disk Noise,2307.748190495574,163.0957862129059,3685.7044715705333,-37.38651027785176,0.00010423690479499878,True
tenant-dsk,disk_throughput_total,6 - Combined Noise,2301.179623476916,188.6285294065109,3685.7044715705333,-37.564727687015306,9.737624293402118e-05,True
tenant-dsk,disk_throughput_total,7 - Recovery,2292.951465221758,193.47084631792322,3685.7044715705333,-37.78797288528406,9.000914007668893e-05,True
tenant-dsk,memory_usage,2 - CPU Noise,61287021.53233831,675195.9770763742,60570530.90909091,1.182902993409066,4.535646629524164e-05,True
tenant-dsk,memory_usage,3 - Memory Noise,61438858.82587065,696037.5836436233,60570530.90909091,1.4335814854966313,1.1938048499969415e-06,True
tenant-dsk,memory_usage,4 - Network Noise,61538283.20812183,979638.3265144029,60570530.90909091,1.597727945431752,1.989174330828741e-07,True
tenant-dsk,memory_usage,5 - Disk Noise,61544232.421052635,847763.3177821538,60570530.90909091,1.607549904793038,1.1828790574762648e-07,True
tenant-dsk,memory_usage,6 - Combined Noise,61528960.0,840764.8261853298,60570530.90909091,1.5823356284388204,1.7164268728874196e-07,True
tenant-dsk,memory_usage,7 - Recovery,61750403.8019802,695328.4484812361,60570530.90909091,1.9479322290572927,5.612191665489747e-10,True
tenant-dsk,network_total_bandwidth,2 - CPU Noise,3260.3639614234016,332.34494358212646,3208.7746351383275,1.6077578562275727,0.3870044766326689,False
tenant-dsk,network_total_bandwidth,3 - Memory Noise,3258.655625443994,367.8801307597413,3208.7746351383275,1.5545183435269816,0.410847164177333,False
tenant-dsk,network_total_bandwidth,4 - Network Noise,3265.7097930657696,345.19186952733753,3208.7746351383275,1.774358264490198,0.343773353777007,False
tenant-dsk,network_total_bandwidth,5 - Disk Noise,3289.7204918191774,342.06198524067094,3208.7746351383275,2.522640754960977,0.17949848446612043,False
tenant-dsk,network_total_bandwidth,6 - Combined Noise,3276.264250567183,314.35941158106294,3208.7746351383275,2.103283125271462,0.25593974477768544,False
tenant-dsk,network_total_bandwidth,7 - Recovery,3273.4297033965763,337.00358529304697,3208.7746351383275,2.0149457537538016,0.31461409788648104,False
tenant-mem,cpu_usage,2 - CPU Noise,0.011331859572022571,0.0007395727937044289,0.01067353884508007,6.167783117648483,6.471942609515332e-05,True
tenant-mem,cpu_usage,3 - Memory Noise,0.010698227683639022,0.0007827080712339982,0.01067353884508007,0.23130883690306536,0.8776250913328497,False
tenant-mem,cpu_usage,4 - Network Noise,0.0114135057434804,0.0008899683123903962,0.01067353884508007,6.932723149655419,1.269826408499853e-05,True
tenant-mem,cpu_usage,5 - Disk Noise,0.011832939757487993,0.0009386377551594072,0.01067353884508007,10.862385280420327,8.922477252167923e-11,True
tenant-mem,cpu_usage,6 - Combined Noise,0.011457972137280665,0.0008013307231640887,0.01067353884508007,7.349327187413351,3.237633522828763e-06,True
tenant-mem,cpu_usage,7 - Recovery,0.011107069017233257,0.0007985516991810802,0.01067353884508007,4.061728527394843,0.011748183889132388,True
tenant-mem,disk_throughput_total,2 - CPU Noise,0.0,0.0,0.0,,,False
tenant-mem,disk_throughput_total,3 - Memory Noise,1150.3431549683464,6846.779981803172,0.0,inf,0.018157123204948177,True
tenant-mem,disk_throughput_total,4 - Network Noise,1408.6922112212362,7224.970946287803,0.0,inf,0.006920330250608326,True
tenant-mem,disk_throughput_total,5 - Disk Noise,0.0,0.0,0.0,,,False
tenant-mem,disk_throughput_total,6 - Combined Noise,0.0,0.0,0.0,,,False
