tenant_id,metric_name,experimental_phase,mean,volatility,count,baseline_mean,baseline_std,baseline_count,percentage_change,cohen_d,p_value,is_significant
tenant-cpu,cpu_usage,2-CPU-Noise,2.5311062148064605,0.24314015458683894,354,3.777335791386768,0.2676364076082638,366,-32.99228994737534,-4.870249208968633,3.852340453393948e-304,True
tenant-cpu,cpu_usage,3-Memory-Noise,2.9010380258823973,0.2179027504028432,356,3.777335791386768,0.2676364076082638,366,-23.198831501889234,-3.5857537555866976,7.482030632772168e-225,True
tenant-cpu,cpu_usage,4-Network-Noise,2.397857264289412,0.2545080828363987,351,3.777335791386768,0.2676364076082638,366,-36.519880764715126,-5.279444074144291,0.0,True
tenant-cpu,cpu_usage,5-Disk-Noise,3.4418030637473827,0.2429271878336901,281,3.777335791386768,0.2676364076082638,366,-8.882787926995542,-1.3045511642347103,7.361694277745247e-52,True
tenant-cpu,cpu_usage,6-Combined-Noise,1.6446156298452514,0.15375078557710758,212,3.777335791386768,0.2676364076082638,366,-56.46096294654635,-9.173554431783435,0.0,True
tenant-cpu,cpu_usage,7-Recovery,3.686700199968847,0.3500075167657686,355,3.777335791386768,0.2676364076082638,366,-2.399458147845685,-0.29149745688260553,0.0001070849695365214,True
tenant-cpu,memory_usage,2-CPU-Noise,249086495.81920904,46768041.15163504,354,241302421.6830601,52268297.71881489,366,3.2258582743827415,0.15680941335600124,0.035429593730804114,True
tenant-cpu,memory_usage,3-Memory-Noise,258045261.66292134,47569943.42809027,356,241302421.6830601,52268297.71881489,366,6.938529610719033,0.33481028426463527,7.796998069253327e-06,True
tenant-cpu,memory_usage,4-Network-Noise,262310512.3190883,45539877.1065755,351,241302421.6830601,52268297.71881489,366,8.706125073051021,0.427950275298181,1.3665309226718522e-08,True
tenant-cpu,memory_usage,5-Disk-Noise,254416801.25266904,57493954.083889484,281,241302421.6830601,52268297.71881489,366,5.434831311736305,0.24019772290714458,0.0029027475239723198,True
tenant-cpu,memory_usage,6-Combined-Noise,267189576.4528302,57169070.028914146,212,241302421.6830601,52268297.71881489,366,10.728095718729131,0.47837226603962374,1.064157282765824e-07,True
tenant-cpu,memory_usage,7-Recovery,264795808.09014085,50084507.24858782,355,241302421.6830601,52268297.71881489,366,9.736075685944938,0.4588126568278072,1.1875153685496504e-09,True
tenant-dsk,cpu_usage,2-CPU-Noise,0.8912983009370362,0.09250005002638985,354,0.9744541373656591,0.1223087698068591,366,-8.533581339541184,-0.7651434467847007,2.945993340119484e-23,True
tenant-dsk,cpu_usage,3-Memory-Noise,0.9164537237976872,0.0830638478486196,356,0.9744541373656591,0.1223087698068591,366,-5.952092699279858,-0.5533773415799758,2.5828890198841974e-13,True
tenant-dsk,cpu_usage,4-Network-Noise,0.9054830999203933,0.0875671258666051,351,0.9744541373656591,0.1223087698068591,366,-7.077915193805036,-0.6462507304786862,2.4371012014521436e-17,True
tenant-dsk,cpu_usage,5-Disk-Noise,0.8534230039875568,0.10198654579927662,281,0.9744541373656591,0.1223087698068591,366,-12.420403253179067,-1.0623024970420307,1.0236139832356666e-37,True
tenant-dsk,cpu_usage,6-Combined-Noise,0.7738600959185976,0.0946657782342146,212,0.9744541373656591,0.1223087698068591,366,-20.585272693217533,-1.775633369048802,1.0995313840497537e-76,True
tenant-dsk,cpu_usage,7-Recovery,0.9485868920800523,0.13706248809627106,355,0.9744541373656591,0.1223087698068591,366,-2.654536965232284,-0.19931221086480924,0.0077379014863844095,True
tenant-dsk,memory_usage,2-CPU-Noise,503917469.6497175,57527524.83383224,354,503992107.3661202,56280824.648672916,366,-0.014809302628322637,-0.001311800145144462,0.9859702228893387,False
tenant-dsk,memory_usage,3-Memory-Noise,503039677.8426966,44404794.215757065,356,503992107.3661202,56280824.648672916,366,-0.18897707116903895,-0.018758347217316586,0.8004908204853473,False
tenant-dsk,memory_usage,4-Network-Noise,510988393.025641,44581841.88576458,351,503992107.3661202,56280824.648672916,366,1.3881736553541741,0.13747537345210398,0.06488185333105378,False
tenant-dsk,memory_usage,5-Disk-Noise,524412381.3807829,43800768.29429058,281,503992107.3661202,56280824.648672916,366,4.051705119228895,0.39853870084718435,2.8243308683399033e-07,True
tenant-dsk,memory_usage,6-Combined-Noise,532069066.8679245,49045262.95243423,212,503992107.3661202,56280824.648672916,366,5.570912538399744,0.5224254133745576,7.551995335852024e-10,True
tenant-dsk,memory_usage,7-Recovery,505945869.70140845,45354701.62031823,355,503992107.3661202,56280824.648672916,366,0.38765732771067674,0.03816419070618695,0.60742320694632,False
tenant-mem,cpu_usage,2-CPU-Noise,2.562066206627692,0.23235368190882424,354,3.7439019422030255,0.27088220488803394,366,-31.566952175032277,-4.677293308062602,4.676190251284191e-292,True
tenant-mem,cpu_usage,3-Memory-Noise,2.883917627374603,0.19673974993792356,356,3.7439019422030255,0.27088220488803394,366,-22.97026813481075,-3.6249614076681906,1.0310645184945036e-222,True
tenant-mem,cpu_usage,4-Network-Noise,2.3898622071587434,0.2471033269864274,351,3.7439019422030255,0.27088220488803394,366,-36.166538438972154,-5.217586568498107,1.215e-321,True
tenant-mem,cpu_usage,5-Disk-Noise,3.435710941535328,0.2544440839039942,281,3.7439019422030255,0.27088220488803394,366,-8.231812836592306,-1.1679560525743031,6.9839063373384266e-43,True
tenant-mem,cpu_usage,6-Combined-Noise,1.61729058179649,0.1614559748679489,212,3.7439019422030255,0.27088220488803394,366,-56.802004786353265,-8.98281146159427,0.0,True
