,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,,0.516779551579472,0.6021305489116789,0.4547440093151502
tenant-dsk,0.222777737188299,,0.19411294194230877,0.11897229333069553
tenant-mem,0.4092125963372384,0.1736745929037732,,0.12582269077891478
tenant-ntk,0.17567913055811513,0.12601385241118476,0.1504056358079832,
