,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,,0.0375881756030318,0.22160754098130306,0.15210316553621342
tenant-dsk,0.028850500560809008,,0.038508573471036776,0.020400209772542914
tenant-mem,0.14870166211440808,0.05008671155241942,,0.09033781285236964
tenant-ntk,0.10316249904685462,0.010060507323170577,0.09987997182017776,
