experimental_phase,cpu_usage,disk_io_total,memory_usage,network_throughput
2-CPU-Noise,-5.156562207189536,-37.02543335127429,1.858851448109765,-15.67399342826298
3-Memory-Noise,-2.835059260433725,-36.30511068750993,2.7114293484942307,-14.509483143109335
4-Network-Noise,-6.038607808130766,-35.98501367677513,3.940711130789219,-18.18625927455599
5-Disk-Noise,-7.80963138983199,-65.53502985706837,6.282379810584805,-16.178337219744545
6-Combined-Noise,-11.697670078286093,-67.5786476865795,7.480380233467263,-20.497085419274864
7-Recovery,-2.434634286345624,-37.67151115281267,7.1138271186582855,-14.082905500981576
