tenant_id,metric_name,experimental_phase,mean_percentage_change,std_percentage_change,count
tenant-cpu,cpu_usage,2-CPU-Noise,-32.622660373079505,0.8212568161771189,10
tenant-cpu,cpu_usage,3-Memory-Noise,-23.219056114737704,1.8193197337997096,10
tenant-cpu,cpu_usage,4-Network-Noise,-36.32341605938633,2.028583130512676,10
tenant-cpu,cpu_usage,5-Disk-Noise,-9.660446287264154,2.396424404577334,10
tenant-cpu,cpu_usage,6-Combined-Noise,-56.36660216298101,1.1200572036987797,10
tenant-cpu,cpu_usage,7-Recovery,-1.6728492084231612,1.9093883066255075,10
tenant-cpu,disk_io_total,2-CPU-Noise,-2.1115362103368556,2.0317784181153,10
tenant-cpu,disk_io_total,3-Memory-Noise,13.486598491563706,46.7247459222174,10
tenant-cpu,disk_io_total,4-Network-Noise,20.212462855016728,77.98294361738816,10
tenant-cpu,disk_io_total,5-Disk-Noise,14.082503620637265,44.313689955031656,10
tenant-cpu,disk_io_total,6-Combined-Noise,20.006553242500726,69.84249645628371,10
tenant-cpu,disk_io_total,7-Recovery,15.700705194989416,62.83258010953764,10
tenant-cpu,memory_usage,2-CPU-Noise,2.760722525433493,4.706911629953985,10
tenant-cpu,memory_usage,3-Memory-Noise,4.499214258633559,3.856625741460448,10
tenant-cpu,memory_usage,4-Network-Noise,4.474216583004042,2.5902001157799504,10
tenant-cpu,memory_usage,5-Disk-Noise,10.662416766509036,5.239547180267045,10
tenant-cpu,memory_usage,6-Combined-Noise,13.058429126286148,5.4461211617064835,10
tenant-cpu,memory_usage,7-Recovery,11.97841806507188,3.866706717074749,10
tenant-cpu,network_throughput,2-CPU-Noise,-3.9706174892638084,2.134620354864064,8
tenant-cpu,network_throughput,3-Memory-Noise,-3.0162442950914374,2.4261719516380245,8
tenant-cpu,network_throughput,4-Network-Noise,-7.458189117858897,3.3649221889186727,8
tenant-cpu,network_throughput,5-Disk-Noise,-7.324127573393378,4.533123096800735,8
tenant-cpu,network_throughput,6-Combined-Noise,-13.755483343066267,8.561149981559304,8
tenant-cpu,network_throughput,7-Recovery,-2.890177621769822,2.021816306577617,8
tenant-dsk,cpu_usage,2-CPU-Noise,-5.156562207189536,1.931293544740239,10
tenant-dsk,cpu_usage,3-Memory-Noise,-2.835059260433725,2.412316413766288,10
tenant-dsk,cpu_usage,4-Network-Noise,-6.038607808130766,3.893270125035682,10
tenant-dsk,cpu_usage,5-Disk-Noise,-7.80963138983199,6.248756459859769,10
tenant-dsk,cpu_usage,6-Combined-Noise,-11.697670078286091,7.482879739377665,10
