experimental_phase,victim_tenant,metric_name,mean_percentage_change
2-CPU-Noise,tenant-cpu,cpu_usage,-32.622660373079505
3-Memory-Noise,tenant-cpu,cpu_usage,-23.219056114737704
4-Network-Noise,tenant-cpu,cpu_usage,-36.32341605938633
5-Disk-Noise,tenant-cpu,cpu_usage,-9.660446287264154
6-Combined-Noise,tenant-cpu,cpu_usage,-56.36660216298101
7-Recovery,tenant-cpu,cpu_usage,-1.6728492084231612
2-CPU-Noise,tenant-cpu,disk_io_total,-2.111536210336856
3-Memory-Noise,tenant-cpu,disk_io_total,13.486598491563706
4-Network-Noise,tenant-cpu,disk_io_total,20.212462855016728
5-Disk-Noise,tenant-cpu,disk_io_total,14.082503620637263
6-Combined-Noise,tenant-cpu,disk_io_total,20.00655324250073
7-Recovery,tenant-cpu,disk_io_total,15.700705194989416
2-CPU-Noise,tenant-cpu,memory_usage,2.760722525433493
3-Memory-Noise,tenant-cpu,memory_usage,4.499214258633559
4-Network-Noise,tenant-cpu,memory_usage,4.474216583004042
5-Disk-Noise,tenant-cpu,memory_usage,10.662416766509036
6-Combined-Noise,tenant-cpu,memory_usage,13.058429126286148
7-Recovery,tenant-cpu,memory_usage,11.97841806507188
2-CPU-Noise,tenant-cpu,network_throughput,-3.970617489263808
3-Memory-Noise,tenant-cpu,network_throughput,-3.016244295091437
4-Network-Noise,tenant-cpu,network_throughput,-7.458189117858897
5-Disk-Noise,tenant-cpu,network_throughput,-7.324127573393378
6-Combined-Noise,tenant-cpu,network_throughput,-13.755483343066269
7-Recovery,tenant-cpu,network_throughput,-2.890177621769822
2-CPU-Noise,tenant-dsk,cpu_usage,-5.156562207189536
3-Memory-Noise,tenant-dsk,cpu_usage,-2.835059260433725
4-Network-Noise,tenant-dsk,cpu_usage,-6.038607808130766
5-Disk-Noise,tenant-dsk,cpu_usage,-7.80963138983199
6-Combined-Noise,tenant-dsk,cpu_usage,-11.697670078286093
7-Recovery,tenant-dsk,cpu_usage,-2.434634286345624
2-CPU-Noise,tenant-dsk,disk_io_total,-37.02543335127429
3-Memory-Noise,tenant-dsk,disk_io_total,-36.30511068750993
4-Network-Noise,tenant-dsk,disk_io_total,-35.98501367677513
5-Disk-Noise,tenant-dsk,disk_io_total,-65.53502985706837
6-Combined-Noise,tenant-dsk,disk_io_total,-67.5786476865795
7-Recovery,tenant-dsk,disk_io_total,-37.67151115281267
2-CPU-Noise,tenant-dsk,memory_usage,1.858851448109765
3-Memory-Noise,tenant-dsk,memory_usage,2.7114293484942307
4-Network-Noise,tenant-dsk,memory_usage,3.940711130789219
5-Disk-Noise,tenant-dsk,memory_usage,6.282379810584805
6-Combined-Noise,tenant-dsk,memory_usage,7.480380233467263
7-Recovery,tenant-dsk,memory_usage,7.1138271186582855
2-CPU-Noise,tenant-dsk,network_throughput,-15.67399342826298
3-Memory-Noise,tenant-dsk,network_throughput,-14.509483143109335
4-Network-Noise,tenant-dsk,network_throughput,-18.18625927455599
5-Disk-Noise,tenant-dsk,network_throughput,-16.178337219744545
6-Combined-Noise,tenant-dsk,network_throughput,-20.497085419274864
7-Recovery,tenant-dsk,network_throughput,-14.082905500981576
2-CPU-Noise,tenant-mem,cpu_usage,-32.44421819649061
3-Memory-Noise,tenant-mem,cpu_usage,-23.241127737200085
4-Network-Noise,tenant-mem,cpu_usage,-36.307266498279546
5-Disk-Noise,tenant-mem,cpu_usage,-9.064533699041268
6-Combined-Noise,tenant-mem,cpu_usage,-56.4125536841378
7-Recovery,tenant-mem,cpu_usage,-1.197472024431196
2-CPU-Noise,tenant-mem,disk_io_total,-1.9435753852906896
3-Memory-Noise,tenant-mem,disk_io_total,-1.4816854408841211
4-Network-Noise,tenant-mem,disk_io_total,-3.745203566460648
5-Disk-Noise,tenant-mem,disk_io_total,3.732884645699786
6-Combined-Noise,tenant-mem,disk_io_total,3.921355919684791
7-Recovery,tenant-mem,disk_io_total,19.221102912718067
2-CPU-Noise,tenant-mem,memory_usage,2.139080666840359
3-Memory-Noise,tenant-mem,memory_usage,2.668053168917281
4-Network-Noise,tenant-mem,memory_usage,4.593790064120482
