,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,,0.6844591849041793,0.7190167178241786,0.009634715727714793
tenant-dsk,0.1024095247040318,,0.027820434346431888,0.03165000206584212
tenant-mem,0.8565997146846007,0.004371052192860837,,0.04961742891799465
tenant-ntk,0.18204998678743853,0.06492561569917112,0.08578079576111035,
