,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,,0.005624659739389006,0.002542418899431087,0.014914402552964766
tenant-dsk,0.025512188261403432,,0.03769588892683915,0.08472672619047321
tenant-mem,3.584492218149889e-05,0.00048975800363436,,0.0375951844757302
tenant-ntk,0.01974588659562387,0.05412525700441645,0.03190554974975219,
