,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk,tenant-nsy
tenant-cpu,,0.028531971502357208,0.03523322397286214,0.04158098213738391,0.0007112237890314777
tenant-dsk,0.04433254855563546,,0.2639348083417273,0.28958545187048434,0.01711163436970116
tenant-mem,0.0923107308649725,0.31363145086439437,,0.6020312807393574,0.02660289630741339
tenant-ntk,0.012581401127242115,0.11210482290274858,0.21326476760101234,,0.0037934045334847666
tenant-nsy,0.0,0.0037934045334847666,0.0037934045334847666,0.0,
