,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk,tenant-nsy
tenant-cpu,,0.6301273869518262,0.2130932493647004,0.0007357975276752323,
tenant-dsk,0.37303226877197687,,0.15068078693572406,0.14453445241793664,0.6508416152920864
tenant-mem,0.3320589544237563,0.3466569237059689,,0.024260785202267154,0.11571671500950145
tenant-ntk,0.005950906470159093,0.00020884092828125922,0.04042736902472842,,
tenant-nsy,,,,,
