,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk,tenant-nsy
tenant-cpu,,0.11775499916302037,0.14003080800199538,0.020304082060269138,0.6845918937355413
tenant-dsk,0.3171842560861986,,2.0550783662724918e-07,5.969725355530483e-06,2.7127222352024466e-07
tenant-mem,2.5144120841616327e-05,0.0017066631377272337,,0.00011928313372919683,0.0028328523607672046
tenant-ntk,0.042179307844454346,1.0305873317407174e-05,3.406990018093898e-07,,5.1316129404066186e-05
tenant-nsy,0.14426675014461726,9.88107947677457e-07,5.487410664298283e-13,2.839427700509591e-07,
