,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,,0.2347019837840626,0.22868369710565042,0.28038842041307216,0.2549726101693324
tenant-dsk,0.1613966156905308,,0.16767903508971438,0.19498827107514996,0.16817475681664346
tenant-mem,0.18005546706919803,0.19916913582504028,,0.2083868371677756,0.19057792656868366
tenant-nsy,0.2225625575870748,0.13507234475939386,0.2085383177468754,,0.21502568182301235
tenant-ntk,0.2267742657377414,0.20879364737975242,0.20065048323424725,0.21215945845404469,
