metric_name,tenant_id,mean_cohen_d,std_cohen_d,num_rounds_x,mean_percentage_change,std_percentage_change,num_rounds_y
cpu_usage,tenant-cpu,-0.4929017468157007,0.0034121143236576145,30,-99.38356642356624,0.028294369118299554,30
cpu_usage,tenant-dsk,0.44290487625259284,0.21131950900891228,30,4.886569673665634,2.353499479441868,30
cpu_usage,tenant-mem,0.07532311696005164,0.13270538445410004,30,0.812539383678263,1.3611049901902097,30
cpu_usage,tenant-ntk,0.10181946389999087,0.28838940745699415,30,1.167603745798374,2.8192065620718796,30
disk_throughput_total,tenant-cpu,-0.2570341400593062,0.16055612276571796,30,-14.481994247280598,281.095115699439,30
disk_throughput_total,tenant-dsk,-0.38202243064553987,0.11287595591473994,30,-55.3192214707733,21.62326632202009,30
disk_throughput_total,tenant-mem,-0.2361613029499511,0.25953304993673015,30,-26.761235997960753,147.0409165043104,30
disk_throughput_total,tenant-ntk,-0.031279802152346714,0.17527993589057303,30,-100.0,0.0,6
memory_usage,tenant-cpu,-1.4372874275098333,2.0203329262110183,30,-30.326207174074487,22.787110918118966,30
memory_usage,tenant-dsk,0.1280211177887849,0.9106269732508265,30,1.0025179164635982,5.18790332896556,30
memory_usage,tenant-mem,1.4871235161860064,1.5541710786212133,30,13.686446029224859,14.423651778861682,30
memory_usage,tenant-ntk,0.06084669653125327,0.18499203728898655,30,1.1691345718270496,3.7365332988248907,30
network_total_bandwidth,tenant-cpu,-0.07677163698722413,0.1816260836522118,30,-0.7674830492985973,2.1452406803640667,30
network_total_bandwidth,tenant-dsk,0.20754494956499459,0.08344536655289012,30,2.8133682429092586,1.2299348976725235,30
network_total_bandwidth,tenant-mem,0.19585153864892307,0.06645178588535314,30,2.7230194723397974,0.9389193129047118,30
network_total_bandwidth,tenant-ntk,0.1371427743075093,0.08970429880050913,30,1.6596723345595967,1.0775655718911763,30
