timestamp,value
"20250619_014519","1908.060090318932"
"20250619_014525","2336.4077217526146"
"20250619_014531","2461.6925960562376"
"20250619_014537","2173.714232552172"
"20250619_014543","2051.1385018517367"
"20250619_014549","1725.5904745309867"
"20250619_014555","2212.0703060687115"
"20250619_014600","2576.9141019731965"
"20250619_014606","2393.670623641531"
"20250619_014612","2476.2327800441144"
"20250619_014618","2215.888036444214"
"20250619_014624","2282.2147136688577"
"20250619_014630","2472.5454368561286"
"20250619_014636","2006.4413302943408"
"20250619_014642","2455.630943000143"
"20250619_014648","1942.0664524581402"
"20250619_014654","1976.717037127079"
"20250619_014700","2590.200866934817"
"20250619_014706","2252.050875755048"
"20250619_014712","2373.6244127171512"
"20250619_014718","2074.340061669578"
"20250619_014724","2338.6127129217844"
"20250619_014730","2454.9206973113205"
"20250619_014736","2304.7792910266962"
"20250619_014742","2025.7164874373225"
"20250619_014748","2014.8910939468283"
"20250619_014754","2084.8589512958893"
"20250619_014800","2574.2219892282083"
"20250619_014806","2364.033066465814"
"20250619_014812","2488.4908373707485"
"20250619_014818","2289.079103745531"
"20250619_014824","2349.4596380047187"
"20250619_014830","2579.9415767145856"
"20250619_014836","2217.2576372600465"
"20250619_014842","2439.2418203503494"
"20250619_014848","2135.2446262712983"
"20250619_014854","2281.516303452353"
"20250619_014900","2571.111236121071"
"20250619_014905","2423.8664109409056"
"20250619_014911","2266.851465341625"
"20250619_014917","2132.1388594837117"
"20250619_014923","2003.4949786482107"
"20250619_014929","2655.42605741664"
"20250619_014935","2376.5086251158273"
"20250619_014941","2296.544048798767"
"20250619_014947","1910.2600850779882"
"20250619_014953","2185.9321969128277"
"20250619_014959","2625.259973840603"
"20250619_015005","2602.5167916496775"
"20250619_015011","2121.5674370751985"
"20250619_015017","1941.5636548076227"
"20250619_015023","2268.9113504955667"
"20250619_015029","2666.6085391880124"
"20250619_015035","2524.556488360697"
"20250619_015041","2061.9938476108578"
"20250619_015047","1883.330346312845"
"20250619_015053","2325.4800340175525"
"20250619_015059","2616.3930487058688"
"20250619_015105","2615.5097915153456"
"20250619_015111","2446.840139854927"
"20250619_015117","1926.041012847053"
"20250619_015123","2062.7438052461257"
"20250619_015129","2576.1952643102395"
"20250619_015135","2272.5427574845794"
"20250619_015141","2492.596914456056"
"20250619_015147","2305.102530280503"
"20250619_015153","2381.6801254032675"
"20250619_015159","2565.9566110651485"
"20250619_015205","2400.7139570003383"
"20250619_015211","2487.668690093891"
"20250619_015217","1982.0286978599927"
"20250619_015223","2337.9702723454184"
"20250619_015229","2392.5283015485807"
"20250619_015235","2027.7774492194887"
"20250619_015241","2373.060810994767"
"20250619_015247","2025.9901338971106"
"20250619_015253","2328.1278874346162"
"20250619_015259","2485.432860095508"
"20250619_015305","2173.555442325673"
"20250619_015311","2382.2633067062266"
"20250619_015317","2065.594891115932"
"20250619_015323","2349.256939419929"
"20250619_015329","2600.7141951803255"
"20250619_015335","2445.4571877443077"
"20250619_015341","2459.2953978795103"
"20250619_015347","2263.758581728074"
"20250619_015353","2209.449505278401"
"20250619_015359","2522.6258785088717"
"20250619_015405","2380.3646580928853"
"20250619_015411","2385.4230342900146"
"20250619_015417","2031.844575061312"
"20250619_015423","2211.5096319916447"
"20250619_015429","2463.4414178229667"
"20250619_015435","2048.495115604278"
"20250619_015441","2083.8330055037704"
"20250619_015447","2213.528889482065"
"20250619_015453","2345.9176399076614"
"20250619_015459","10077.407609469054"
"20250619_015505","10783.27383243464"
"20250619_015511","10303.250969876313"
"20250619_015517","11038.617300970081"
"20250619_015523","10433.90352904916"
"20250619_015529","11282.242132099847"
"20250619_015535","9718.958203306545"
"20250619_015541","9884.485647410558"
"20250619_015547","2289.861967273806"
"20250619_015553","2345.1519416363285"
"20250619_015559","2656.3931360123497"
"20250619_015605","2483.5005763329627"
"20250619_015611","2534.3182193277908"
"20250619_015617","2044.1639895682267"
"20250619_015623","1972.647475448864"
"20250619_015629","2441.0688048395314"
"20250619_015635","2322.138187621763"
"20250619_015641","2329.9819780040266"
"20250619_015647","2121.8510590968094"
"20250619_015653","2331.1538469973075"
"20250619_015659","2558.987365201293"
"20250619_015705","2417.6813022225133"
"20250619_015711","2443.8466846145725"
"20250619_015717","2287.077367809229"
"20250619_015723","2124.4242393200416"
"20250619_015729","2636.6964085168865"
"20250619_015735","2360.2799338985233"
"20250619_015741","2366.318382276243"
"20250619_015747","1801.664721090906"
"20250619_015753","2358.143320339035"
"20250619_015759","2565.993915033476"
"20250619_015805","2208.4658778508674"
"20250619_015811","2343.7877779303235"
"20250619_015817","1984.1999329539567"
"20250619_015823","2214.184051735934"
"20250619_015829","2665.630904863111"
"20250619_015835","2650.6611364622286"
"20250619_015841","2384.7315062296498"
"20250619_015847","2154.874502689663"
"20250619_015853","2428.478196036903"
"20250619_015859","2482.418847585469"
"20250619_015905","2025.7883823204795"
