tenant_id,metric_name,experimental_phase,mean,volatility,baseline_mean,percentage_change,p_value,is_significant
tenant-cpu,cpu_usage,2 - CPU Noise,0.0009292664794460875,0.00013471526794489808,0.4268873964847454,-99.78231578465463,8.498386259258987e-15,True
tenant-cpu,cpu_usage,3 - Memory Noise,0.0009500365995165505,0.00014855252443399846,0.4268873964847454,-99.7774503048486,8.521317374901897e-15,True
tenant-cpu,cpu_usage,4 - Network Noise,0.0011695658964742403,0.00020568399785192735,0.4268873964847454,-99.72602473015012,8.767458629101478e-15,True
tenant-cpu,cpu_usage,5 - Disk Noise,0.0011645871957551277,0.00021591811511122492,0.4268873964847454,-99.72719100977329,8.761799965078926e-15,True
tenant-cpu,cpu_usage,6 - Combined Noise,0.0010285835440808702,0.00015662477409668883,0.4268873964847454,-99.75905038364897,8.608590050512034e-15,True
tenant-cpu,cpu_usage,7 - Recovery,0.0009889659815965049,0.0001462715553391993,0.4268873964847454,-99.76833094869039,8.564463598990267e-15,True
tenant-cpu,memory_usage,2 - CPU Noise,2184474.365448505,70886.69228095717,3000320.0,-27.19195400995543,1.332792924749417e-12,True
tenant-cpu,memory_usage,3 - Memory Noise,2182629.5906821964,53049.29242128347,3000320.0,-27.25343994366613,1.1909235781735899e-12,True
tenant-cpu,memory_usage,4 - Network Noise,2178173.387755102,45341.09454059305,3000320.0,-27.40196419864874,9.18004112883038e-13,True
tenant-cpu,memory_usage,5 - Disk Noise,2175595.079086116,54878.575151616176,3000320.0,-27.487898654606308,7.925054276714469e-13,True
tenant-cpu,memory_usage,6 - Combined Noise,2170580.8139130436,17853.175990258318,3000320.0,-27.655023000445166,5.870219372005096e-13,True
tenant-cpu,memory_usage,7 - Recovery,2181031.5481727575,46978.048574859364,3000320.0,-27.30670234599118,1.090284777001993e-12,True
tenant-dsk,cpu_usage,2 - CPU Noise,0.020503783670851847,0.0015382339252225413,0.0205701277886272,-0.3225265222320675,0.7469999578617408,False
tenant-dsk,cpu_usage,3 - Memory Noise,0.0202985154476145,0.0015815286442470385,0.0205701277886272,-1.3204212623456189,0.18830381282725117,False
tenant-dsk,cpu_usage,4 - Network Noise,0.021638236324481676,0.001771338431068355,0.0205701277886272,5.1925226076865325,5.075941660698403e-07,True
tenant-dsk,cpu_usage,5 - Disk Noise,0.02288343830175766,0.0020558492222924407,0.0205701277886272,11.24597054963092,3.817957202392786e-24,True
tenant-dsk,cpu_usage,6 - Combined Noise,0.02218353485696891,0.001775710523290209,0.0205701277886272,7.843446987401465,1.1278354353055076e-13,True
tenant-dsk,cpu_usage,7 - Recovery,0.021286619733207095,0.001646632861905104,0.0205701277886272,3.4831672021796107,0.001070222915414002,True
tenant-dsk,memory_usage,2 - CPU Noise,61348255.04318937,830846.5650539836,59951786.666666664,2.3293190314528935,0.00018092461548584123,True
tenant-dsk,memory_usage,3 - Memory Noise,61452785.51747088,848462.4516743615,59951786.666666664,2.5036765945772492,5.902100798901675e-05,True
tenant-dsk,memory_usage,4 - Network Noise,61480075.31972789,786042.3715288795,59951786.666666664,2.5491961758513497,4.317964693364905e-05,True
tenant-dsk,memory_usage,5 - Disk Noise,61658088.60456942,947415.8853329173,59951786.666666664,2.846123581587042,5.546974951928827e-06,True
