,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,,0.27389834383278244,0.0014705555125891425,0.0036514647493626953,0.45932830640711697
tenant-dsk,0.11191967817432774,,0.0003406797080723023,0.4923141296089596,0.7827839915870346
tenant-mem,0.6126679698351422,0.16933308654243254,,0.15504507156318012,0.573879460879275
tenant-nsy,0.005165464997934076,0.3501952868551083,0.03437540061781546,,0.13832178049077354
tenant-ntk,0.9951095923967704,0.30397830758780614,0.026346391645346943,0.23401755972474755,
