,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,,0.9928675397361948,0.30630287421383356,0.6988698065529464
tenant-dsk,0.18877953670268516,,0.9430520395313757,0.9783163613764534
tenant-mem,0.9908059590423438,0.33009913779156175,,0.9107471625169353
tenant-ntk,0.9949622533900225,0.13877148515584567,0.9991334404762059,
