,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,,0.043809210669478696,0.13186854719698982,0.0005877390809056619,0.2529715050329721
tenant-dsk,0.1497445945400494,,0.007004838413101985,0.005920451871984492,0.00020526166396138133
tenant-mem,0.09145349790037599,0.03652722521387311,,9.016496639774445e-05,0.00756919169897531
tenant-nsy,0.0002357348609997407,0.005298570546479274,0.07271476880845087,,0.574971012543608
tenant-ntk,0.001988770589662099,0.0027460436798993717,0.24876970743889984,0.08637416738187317,
