tenant_id,1 - Baseline_mean,1 - Baseline_std,2 - CPU Noise_mean,2 - CPU Noise_std,2 - CPU Noise_vs_baseline_pct,3 - Memory Noise_mean,3 - Memory Noise_std,3 - Memory Noise_vs_baseline_pct,4 - Network Noise_mean,4 - Network Noise_std,4 - Network Noise_vs_baseline_pct,5 - Disk Noise_mean,5 - Disk Noise_std,5 - Disk Noise_vs_baseline_pct,6 - Combined Noise_mean,6 - Combined Noise_std,6 - Combined Noise_vs_baseline_pct,7 - Recovery_mean,7 - Recovery_std,7 - Recovery_vs_baseline_pct,metric
tenant-cpu,0.41494918283133453,0.8651234421088005,0.0009250263698453985,0.00013729789857598712,-99.7770747821375,0.0009259691340470825,0.00013103595478948258,-99.77684758221986,0.001125538308925823,0.00021273559259822817,-99.72875273515521,0.0010863674715271055,0.00016671045785549368,-99.73819264708162,0.001011203677220942,0.00015503467753194127,-99.75630662282036,0.000990496386373881,0.00015482151216547493,-99.7612969425279,cpu_usage
tenant-dsk,0.020573609462756683,0.003541932949576645,0.020358111900365943,0.0013973425987327513,-1.0474465493322598,0.020332581099675437,0.0015801909690894157,-1.171541452254974,0.02178224368734762,0.001683321578987648,5.874682450733125,0.02283882911604841,0.002068190203728332,11.010317160886778,0.02258120117018873,0.0016622141587986396,9.758091846091876,0.021390973348082723,0.0015903174639437811,3.972875478197787,cpu_usage
tenant-mem,0.01056438578822966,0.001664995152935882,0.010672858913430457,0.0007417801326563853,1.0267811813693215,0.010565408111949472,0.0008085828572066966,0.009677076739775652,0.011673011448030427,0.0009009182137641906,10.49399067796205,0.011731828176326935,0.0009891213955061037,11.050736043717613,0.011064118097057785,0.0008054244449183426,4.7303489180119085,0.011101577244554493,0.0008128040525485388,5.084928429283098,cpu_usage
tenant-ntk,0.0012051952062140238,0.000189943009420476,0.0011140873064028175,9.911688685005988e-05,-7.559596930144682,0.001057902906532326,9.079828103543178e-05,-12.22144752337663,0.0011435128450299878,0.00010934412935590389,-5.118039041808317,0.0011842052278809548,0.00013994209588973224,-1.7416247778653613,0.0011657202230029124,0.00010475467167088191,-3.2754016119195546,0.0011752927571399572,9.26875530386712e-05,-2.4811291083708817,cpu_usage
tenant-cpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disk_throughput_total
tenant-dsk,4569.205981332002,4751.3043381684865,2265.262004152327,174.15745455749527,-50.4232898799637,2164.03901042207,193.08004267338146,-52.63861994264448,2289.538251467959,207.10623458666777,-49.89198865575066,2300.644117275392,200.58160039220806,-49.648929667978884,2275.7962044880264,199.7817743669781,-50.19274215725786,2145.466011116282,203.83678790106805,-53.04510193058003,disk_throughput_total
tenant-mem,0.0,0.0,1302.38798905233,6704.080921745063,inf,0.0,0.0,0.0,1179.7489944354043,6759.823162150877,inf,0.0,0.0,0.0,0.0,0.0,0.0,1857.8459234898764,9167.973597800828,inf,disk_throughput_total
tenant-ntk,655.2603344189441,2248.5827961220984,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,disk_throughput_total
tenant-cpu,3049616.8080808083,1874497.842314171,2193530.88,67948.56305864216,-28.07191794760478,2206556.16,74185.79497921343,-27.64480592600632,2193282.612244898,46378.82450531739,-28.08005889680351,2187781.389473684,12859.728288204593,-28.260449520197138,2184554.6666666665,17329.757435949028,-28.366257003893697,2197176.32,45440.56385935547,-27.95238030633981,memory_usage
tenant-dsk,59735857.13131313,7600963.131931906,61295104.0,751954.2870776069,2.6102360350489104,61529395.2,1057105.2855849974,3.002448035096013,61605323.75510204,728007.7533091366,3.1295552011238263,61915286.905263156,1100307.4396037627,3.6484448011838824,61552170.666666664,688196.2555693991,3.0405749956192305,61730324.48,1047472.110656914,3.338810966255275,memory_usage
