round_id,metric,phase,tenant1,tenant2,correlation
round-2,cpu_usage,1 - Baseline,tenant-cpu,tenant-dsk,-0.28729179535642546
round-2,cpu_usage,1 - Baseline,tenant-cpu,tenant-mem,-0.2356833169215904
round-2,cpu_usage,1 - Baseline,tenant-cpu,tenant-ntk,0.4471698612358085
round-2,cpu_usage,1 - Baseline,tenant-dsk,tenant-mem,0.8758652463267412
round-2,cpu_usage,1 - Baseline,tenant-dsk,tenant-ntk,-0.3272560483522974
round-2,cpu_usage,1 - Baseline,tenant-mem,tenant-ntk,-0.29776710037906834
round-2,cpu_usage,2 - CPU Noise,tenant-cpu,tenant-dsk,0.24258208663555245
round-2,cpu_usage,2 - CPU Noise,tenant-cpu,tenant-mem,0.20933482220711083
round-2,cpu_usage,2 - CPU Noise,tenant-cpu,tenant-nsy,-0.0612832453915036
round-2,cpu_usage,2 - CPU Noise,tenant-cpu,tenant-ntk,-0.033285374707931546
round-2,cpu_usage,2 - CPU Noise,tenant-dsk,tenant-mem,0.31939321543702737
round-2,cpu_usage,2 - CPU Noise,tenant-dsk,tenant-nsy,0.025050964250800833
round-2,cpu_usage,2 - CPU Noise,tenant-dsk,tenant-ntk,0.31441267987869775
round-2,cpu_usage,2 - CPU Noise,tenant-mem,tenant-nsy,0.25508869348508706
round-2,cpu_usage,2 - CPU Noise,tenant-mem,tenant-ntk,0.33981075177030634
round-2,cpu_usage,2 - CPU Noise,tenant-nsy,tenant-ntk,0.11573220856534008
round-2,cpu_usage,3 - Memory Noise,tenant-cpu,tenant-dsk,0.10088072589724148
round-2,cpu_usage,3 - Memory Noise,tenant-cpu,tenant-mem,0.38486534466407857
round-2,cpu_usage,3 - Memory Noise,tenant-cpu,tenant-nsy,0.24159676210328432
round-2,cpu_usage,3 - Memory Noise,tenant-cpu,tenant-ntk,0.29032125065973313
round-2,cpu_usage,3 - Memory Noise,tenant-dsk,tenant-mem,0.2982351660294012
round-2,cpu_usage,3 - Memory Noise,tenant-dsk,tenant-nsy,0.29611291033507536
round-2,cpu_usage,3 - Memory Noise,tenant-dsk,tenant-ntk,0.13787925053842168
round-2,cpu_usage,3 - Memory Noise,tenant-mem,tenant-nsy,0.24282703730188915
round-2,cpu_usage,3 - Memory Noise,tenant-mem,tenant-ntk,0.38337779149721574
round-2,cpu_usage,3 - Memory Noise,tenant-nsy,tenant-ntk,0.38105926718054894
round-2,cpu_usage,4 - Network Noise,tenant-cpu,tenant-dsk,0.18897723376844283
round-2,cpu_usage,4 - Network Noise,tenant-cpu,tenant-mem,0.247187976320666
round-2,cpu_usage,4 - Network Noise,tenant-cpu,tenant-nsy,0.18296061820576542
round-2,cpu_usage,4 - Network Noise,tenant-cpu,tenant-ntk,0.04060678940935252
round-2,cpu_usage,4 - Network Noise,tenant-dsk,tenant-mem,0.24513156882109854
round-2,cpu_usage,4 - Network Noise,tenant-dsk,tenant-nsy,0.39952366897882613
round-2,cpu_usage,4 - Network Noise,tenant-dsk,tenant-ntk,0.19080953253925148
round-2,cpu_usage,4 - Network Noise,tenant-mem,tenant-nsy,0.473685480800551
round-2,cpu_usage,4 - Network Noise,tenant-mem,tenant-ntk,0.3143375905824491
round-2,cpu_usage,4 - Network Noise,tenant-nsy,tenant-ntk,0.338774204479017
round-2,cpu_usage,5 - Disk Noise,tenant-cpu,tenant-dsk,0.2570720161898876
round-2,cpu_usage,5 - Disk Noise,tenant-cpu,tenant-mem,0.28541231892017876
round-2,cpu_usage,5 - Disk Noise,tenant-cpu,tenant-nsy,0.360435127450991
round-2,cpu_usage,5 - Disk Noise,tenant-cpu,tenant-ntk,0.1390624194024848
round-2,cpu_usage,5 - Disk Noise,tenant-dsk,tenant-mem,0.35108293718170475
round-2,cpu_usage,5 - Disk Noise,tenant-dsk,tenant-nsy,0.5764620230473795
round-2,cpu_usage,5 - Disk Noise,tenant-dsk,tenant-ntk,0.2832668600478437
round-2,cpu_usage,5 - Disk Noise,tenant-mem,tenant-nsy,0.48671602541694153
round-2,cpu_usage,5 - Disk Noise,tenant-mem,tenant-ntk,0.5495344397966375
round-2,cpu_usage,5 - Disk Noise,tenant-nsy,tenant-ntk,0.3387760421127699
round-2,cpu_usage,6 - Combined Noise,tenant-cpu,tenant-dsk,0.14670503667134874
round-2,cpu_usage,6 - Combined Noise,tenant-cpu,tenant-mem,0.2964284017662642
round-2,cpu_usage,6 - Combined Noise,tenant-cpu,tenant-nsy,0.1802863224100546
round-2,cpu_usage,6 - Combined Noise,tenant-cpu,tenant-ntk,0.13570108212207227
