,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk,tenant-nsy
tenant-cpu,,0.0016613996860037625,1.9858280597915344e-09,0.001589191259853052,0.0013088965572615582
tenant-dsk,2.83061007360165e-05,,1.4331210290275679e-05,7.957693987878909e-08,0.007478847541370374
tenant-mem,0.010905244280602425,3.652740929841789e-05,,0.006339307527391104,2.2770942444997277e-07
tenant-ntk,0.0030729219052560365,4.80437905323951e-05,2.2073145268777076e-05,,0.0020088420482107317
tenant-nsy,0.1027479350171025,0.00023829659738442,6.9688825650392876e-06,0.00015707775680257535,
