,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,,8.903361434322948e-08,1.2078100134772002e-05,0.00021932573101456513
tenant-dsk,2.2232378426162473e-05,,0.057921962880318575,0.0010520893735797142
tenant-mem,0.23962509747044566,0.0044090072865559824,,0.19054276322102504
tenant-ntk,0.007802445779280951,1.3875993672883903e-05,0.007145611254180471,
