timestamp,value
"20250710_031021","3702.9864330010373"
"20250710_031027","2805.75"
"20250710_031033","3687.5110024449878"
"20250710_031039","3789.589786914484"
"20250710_031045","3785.505234325166"
"20250710_031051","2602.0994652492"
"20250710_031057","2524.5416666666665"
"20250710_031103","3024.2888576540518"
"20250710_031109","3510.127713445284"
"20250710_031115","2969.313696601778"
"20250710_031121","3544.0997813233985"
"20250710_031128","3544.0997813233985"
"20250710_031134","3321.7017601579205"
"20250710_031140","3758.959655949212"
"20250710_031146","3785.2797921853016"
"20250710_031152","3711.6219997054923"
"20250710_031158","3366.37606965964"
"20250710_031204","3426.112683681362"
"20250710_031210","3137.8865631624894"
"20250710_031216","2787.410128289064"
"20250710_031222","3282.6476426799004"
"20250710_031228","2245.125"
"20250710_031234","3572.4772138735393"
"20250710_031241","3653.8421436763633"
"20250710_031247","3230.4531852778646"
"20250710_031253","3466.6020339519605"
"20250710_031259","3124.817393468738"
"20250710_031305","3365.7822860407755"
"20250710_031311","2947.3757705309204"
"20250710_031317","3679.1608669715647"
"20250710_031323","3451.3041806413016"
"20250710_031329","3523.5568839902853"
"20250710_031335","3619.8713783135768"
"20250710_031341","3772.8501892915083"
"20250710_031347","3108.559907988494"
"20250710_031353","3054.254266184084"
"20250710_031400","3519.0580481826037"
"20250710_031406","3519.0580481826037"
"20250710_031412","3714.5279261873316"
"20250710_031418","2803.25"
"20250710_031424","3163.355016987542"
"20250710_031431","3423.7881785020772"
"20250710_031437","3009.722727955912"
"20250710_031443","3334.25494160855"
"20250710_031450","3535.680342951894"
"20250710_031456","3535.680342951894"
"20250710_031502","3582.9087114003314"
"20250710_031508","3161.2230048859938"
"20250710_031514","3673.109178140968"
"20250710_031520","3767.6703010903275"
"20250710_031526","3767.670301090327"
"20250710_031532","3525.423387502769"
"20250710_031539","3019.5454468219004"
"20250710_031545","3660.6444597787677"
"20250710_031551","3753.0914703311823"
"20250710_031557","3808.289911112159"
"20250710_031603","3411.158313196664"
"20250710_031609","2796.2243326250805"
"20250710_031615","3376.499853672812"
"20250710_031621","3695.4823728097954"
"20250710_031627","2975.423153052217"
"20250710_031633","3370.2370179255636"
"20250710_031639","3359.002292276616"
"20250710_031645","2854.0938627130568"
"20250710_031652","3583.309452654849"
"20250710_031658","3043.434058970821"
"20250710_031704","3390.3684466200066"
"20250710_031710","3549.3585800896226"
"20250710_031716","2526.5208333333326"
"20250710_031722","3783.684453638062"
"20250710_031728","3610.3020014295926"
"20250710_031734","3278.6486584556687"
"20250710_031740","3794.530479086534"
"20250710_031746","3506.5968685600587"
"20250710_031752","3316.6430580361725"
"20250710_031758","2863.530882802148"
"20250710_031804","2976.3866694064445"
"20250710_031811","3593.2226002268026"
"20250710_031817","2974.6074086674234"
"20250710_031823","3154.9683179293543"
"20250710_031829","2641.9194298950597"
"20250710_031835","2991.7308730193813"
"20250710_031841","3823.445901581161"
"20250710_031847","3871.0975872726835"
"20250710_031853","3746.50408768126"
"20250710_031859","3567.955654773166"
"20250710_031905","3742.2964644826466"
"20250710_031911","3783.8407617575235"
"20250710_031917","3665.9546844243423"
"20250710_031923","2907.5906994510046"
"20250710_031930","3333.257694529252"
"20250710_031936","3333.257694529252"
"20250710_031942","3248.683086075314"
"20250710_031948","2917.6820754685364"
"20250710_031954","2244.25"
"20250710_032001","3419.9343984763523"
"20250710_032007","3018.9185908016784"
"20250710_032014","3634.232325178193"
"20250710_032020","3919.7857849700217"
"20250710_032026","3919.7857849700217"
"20250710_032032","3597.526346883159"
"20250710_032038","3246.7630478782803"
"20250710_032044","3415.5739232161095"
"20250710_032050","3851.9365660262274"
"20250710_032056","3287.5617295165976"
"20250710_032102","3386.8299832495813"
"20250710_032108","2987.1275980597434"
"20250710_032114","3189.0194901904792"
"20250710_032121","3427.6882141180154"
"20250710_032127","3259.488468790794"
"20250710_032133","3497.723460340283"
"20250710_032139","2796.669282688154"
"20250710_032145","3157.858198766408"
"20250710_032151","3555.104608453905"
"20250710_032157","3208.4929225645296"
"20250710_032203","3309.189697081112"
"20250710_032209","3822.987853101616"
"20250710_032215","3822.987853101616"
"20250710_032221","3754.5339675932805"
"20250710_032227","3638.6575428802953"
"20250710_032233","3416.395296687011"
"20250710_032240","3861.979220034019"
"20250710_032246","3465.785208482762"
"20250710_032252","3267.439274221756"
"20250710_032258","2673.688090280709"
"20250710_032304","3500.3153637813975"
"20250710_032310","3278.5378886010362"
"20250710_032316","3278.5378886010362"
"20250710_032322","3464.4219933173845"
"20250710_032328","2880.956977074823"
"20250710_032334","3339.2591745741397"
"20250710_032341","2875.01506270221"
"20250710_032347","2805.708333333333"
"20250710_032353","3062.6612588579837"
"20250710_032359","2773.3844249552803"
"20250710_032405","3126.5504022249215"
"20250710_032411","3714.930521336356"
"20250710_032417","3414.0573397894523"
"20250710_032423","3754.7800737374605"
"20250710_032429","3640.0997817274715"
"20250710_032435","3517.2008084577114"
"20250710_032441","3759.6544905040855"
"20250710_032447","3446.7785320865887"
"20250710_032453","2804.979166666666"
"20250710_032500","3622.7895804861882"
"20250710_032506","3228.7749857125114"
"20250710_032512","3666.830270309574"
"20250710_032518","3528.893456064018"
"20250710_032524","2806.125"
"20250710_032531","3288.913696484511"
"20250710_032537","2875.6113620990664"
"20250710_032543","3453.598881900769"
"20250710_032549","3538.363584913288"
"20250710_032555","2526.1041666666665"
"20250710_032602","3602.966101694915"
"20250710_032608","3012.439957627119"
"20250710_032614","3542.6733033871556"
