metric_name,metric_pretty,phase,value,proportion
disk_io_total,Disk I/O,1-Baseline,140219.73333333334,0.000201450443190975
disk_io_total,Disk I/O,1-Baseline,146796.2772931251,0.00040290088638195
disk_io_total,Disk I/O,1-Baseline,153437.69183236308,0.0006043513295729251
disk_io_total,Disk I/O,1-Baseline,161353.67710111933,0.0008058017727639
disk_io_total,Disk I/O,1-Baseline,163032.5217939405,0.001007252215954875
disk_io_total,Disk I/O,1-Baseline,163123.2,0.0012087026591458502
disk_io_total,Disk I/O,1-Baseline,166854.73530184367,0.0014101531023368251
disk_io_total,Disk I/O,1-Baseline,170415.15658600617,0.0016116035455278
disk_io_total,Disk I/O,1-Baseline,174073.14413860108,0.0018130539887187753
disk_io_total,Disk I/O,1-Baseline,175573.00269093676,0.00201450443190975
disk_io_total,Disk I/O,1-Baseline,178158.37835573548,0.0022159548751007254
disk_io_total,Disk I/O,1-Baseline,181728.03972617615,0.0024174053182917004
disk_io_total,Disk I/O,1-Baseline,181976.88928084783,0.0026188557614826753
disk_io_total,Disk I/O,1-Baseline,184530.63317341465,0.0028203062046736503
disk_io_total,Disk I/O,1-Baseline,186219.73745173743,0.0030217566478646252
disk_io_total,Disk I/O,1-Baseline,190535.4996044084,0.0032232070910556
disk_io_total,Disk I/O,1-Baseline,190985.7123369384,0.003424657534246575
disk_io_total,Disk I/O,1-Baseline,191856.55484329956,0.0036261079774375505
disk_io_total,Disk I/O,1-Baseline,191882.1974828567,0.0038275584206285255
disk_io_total,Disk I/O,1-Baseline,191974.5884293558,0.0040290088638195
disk_io_total,Disk I/O,1-Baseline,192465.24542534736,0.004230459307010476
disk_io_total,Disk I/O,1-Baseline,192890.65579489787,0.004431909750201451
disk_io_total,Disk I/O,1-Baseline,193355.75259814036,0.004633360193392426
disk_io_total,Disk I/O,1-Baseline,194341.31274131272,0.004834810636583401
disk_io_total,Disk I/O,1-Baseline,194379.2639760861,0.005036261079774376
disk_io_total,Disk I/O,1-Baseline,194560.00000000003,0.005237711522965351
disk_io_total,Disk I/O,1-Baseline,194960.24615952696,0.005439161966156326
disk_io_total,Disk I/O,1-Baseline,194974.7685530744,0.0056406124093473006
disk_io_total,Disk I/O,1-Baseline,195918.8405951447,0.0058420628525382755
disk_io_total,Disk I/O,1-Baseline,196532.2477407145,0.0060435132957292505
disk_io_total,Disk I/O,1-Baseline,196993.0531493851,0.006244963738920225
disk_io_total,Disk I/O,1-Baseline,198562.8931839757,0.0064464141821112
disk_io_total,Disk I/O,1-Baseline,198978.18717640245,0.006647864625302175
disk_io_total,Disk I/O,1-Baseline,199145.454789916,0.00684931506849315
disk_io_total,Disk I/O,1-Baseline,199654.27324682468,0.007050765511684126
disk_io_total,Disk I/O,1-Baseline,200029.74305900928,0.007252215954875101
disk_io_total,Disk I/O,1-Baseline,201283.980072768,0.007453666398066076
disk_io_total,Disk I/O,1-Baseline,201592.8111420429,0.007655116841257051
disk_io_total,Disk I/O,1-Baseline,201917.09062679196,0.007856567284448026
disk_io_total,Disk I/O,1-Baseline,203924.9445329139,0.008058017727639
disk_io_total,Disk I/O,1-Baseline,204428.5854136684,0.008259468170829976
disk_io_total,Disk I/O,1-Baseline,204677.1208086825,0.008460918614020952
disk_io_total,Disk I/O,1-Baseline,204800.0,0.008662369057211926
disk_io_total,Disk I/O,1-Baseline,204868.26666666663,0.008863819500402902
disk_io_total,Disk I/O,1-Baseline,205281.9545934389,0.009065269943593876
disk_io_total,Disk I/O,1-Baseline,205403.3376115436,0.009266720386784852
disk_io_total,Disk I/O,1-Baseline,205431.8587146192,0.009468170829975826
disk_io_total,Disk I/O,1-Baseline,205772.98446708484,0.009669621273166801
disk_io_total,Disk I/O,1-Baseline,206747.47713748907,0.009871071716357776
disk_io_total,Disk I/O,1-Baseline,206891.06685388,0.010072522159548751
disk_io_total,Disk I/O,1-Baseline,207022.5894694788,0.010273972602739725
disk_io_total,Disk I/O,1-Baseline,207155.88816616405,0.010475423045930701
disk_io_total,Disk I/O,1-Baseline,207381.86793851096,0.010676873489121675
disk_io_total,Disk I/O,1-Baseline,207829.28402394487,0.010878323932312651
disk_io_total,Disk I/O,1-Baseline,207995.41875012292,0.011079774375503625
