metric,phase,tenant_id,mean_impact,std_impact,mean_effect_size
CPU Usage,2-CPU-Noise,tenant-cpu,-32.807978164364826,0.7772000702470235,-4.717071860504656
CPU Usage,2-CPU-Noise,tenant-dsk,-4.981445908396475,2.0935929254726386,-0.4363033898910793
CPU Usage,2-CPU-Noise,tenant-mem,-32.284123031266,0.5767877703895211,-4.686762634760183
CPU Usage,2-CPU-Noise,tenant-ntk,-1.210690362834934,1.239929778334698,-0.1775741071484504
CPU Usage,3-Memory-Noise,tenant-cpu,-23.850117325385334,0.5707193494822695,-3.510712907551958
CPU Usage,3-Memory-Noise,tenant-dsk,-3.152208305801248,2.114129738850301,-0.28635188289761093
CPU Usage,3-Memory-Noise,tenant-mem,-23.865646974199294,0.6393929564396906,-3.5094299424027633
CPU Usage,3-Memory-Noise,tenant-ntk,-0.6521789033060935,1.1434467338276062,-0.10290477081030694
CPU Usage,4-Network-Noise,tenant-cpu,-37.06589791801021,0.8976246595515922,-5.198186859372715
CPU Usage,4-Network-Noise,tenant-dsk,-6.8154301372198,3.7661374399730563,-0.578045350445432
CPU Usage,4-Network-Noise,tenant-mem,-36.91839271409236,0.8866151084887165,-5.206841714506
CPU Usage,4-Network-Noise,tenant-ntk,-3.0756980245719445,1.244950271457259,-0.4327205334122374
CPU Usage,5-Disk-Noise,tenant-cpu,-10.472809628662786,1.225605827716187,-1.4784965640861596
CPU Usage,5-Disk-Noise,tenant-dsk,-6.075195794930832,5.5362911566099635,-0.550943441299666
CPU Usage,5-Disk-Noise,tenant-mem,-9.877176286358036,1.0880014792044452,-1.3835079441660194
CPU Usage,5-Disk-Noise,tenant-ntk,0.7656528280498036,2.426900452112894,0.07451672654802276
CPU Usage,6-Combined-Noise,tenant-cpu,-56.57271473484357,0.9673683987112897,-8.98536837280372
CPU Usage,6-Combined-Noise,tenant-dsk,-10.88238334712377,8.005338755779437,-0.9286933439784373
CPU Usage,6-Combined-Noise,tenant-mem,-56.2401484516864,0.9149533851301486,-8.728469113843428
