tenant1,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,1.0,0.2055951214633629,0.2059849615735453,0.2121385337256553,0.1499336603204747
tenant-dsk,0.2055951214633629,1.0,0.1573783011889369,0.1771203543010575,0.1809031152317069
tenant-mem,0.2059849615735453,0.1573783011889369,1.0,0.1417286914295735,0.2026846619764051
tenant-nsy,0.2121385337256553,0.1771203543010575,0.1417286914295735,1.0,0.1342588370089618
tenant-ntk,0.1499336603204747,0.1809031152317069,0.2026846619764051,0.1342588370089618,1.0
