metric_name,metric_pretty,phase,value,proportion
network_transmit,Network TX,1-Baseline,576.0282499694265,0.00020479213598197828
network_transmit,Network TX,1-Baseline,838.5626529027248,0.00040958427196395656
network_transmit,Network TX,1-Baseline,916.8316226481606,0.0006143764079459349
network_transmit,Network TX,1-Baseline,928.5642874137524,0.0008191685439279131
network_transmit,Network TX,1-Baseline,932.9244006726444,0.0010239606799098914
network_transmit,Network TX,1-Baseline,933.1766419531192,0.0012287528158918697
network_transmit,Network TX,1-Baseline,934.466514703994,0.0014335449518738481
network_transmit,Network TX,1-Baseline,934.5055125511444,0.0016383370878558263
network_transmit,Network TX,1-Baseline,947.3981198519756,0.0018431292238378046
network_transmit,Network TX,1-Baseline,947.523501671954,0.0020479213598197828
network_transmit,Network TX,1-Baseline,949.8041178112788,0.002252713495801761
network_transmit,Network TX,1-Baseline,959.1925341392434,0.0024575056317837395
network_transmit,Network TX,1-Baseline,966.9229802513464,0.002662297767765718
network_transmit,Network TX,1-Baseline,970.4512643076234,0.0028670899037476962
network_transmit,Network TX,1-Baseline,982.6590585280724,0.0030718820397296746
network_transmit,Network TX,1-Baseline,983.173822894068,0.0032766741757116525
network_transmit,Network TX,1-Baseline,988.9125468164796,0.003481466311693631
network_transmit,Network TX,1-Baseline,989.0783620897288,0.0036862584476756092
network_transmit,Network TX,1-Baseline,990.7712479232048,0.0038910505836575876
network_transmit,Network TX,1-Baseline,991.9336960539692,0.0040958427196395655
network_transmit,Network TX,1-Baseline,994.7508106602238,0.004300634855621544
network_transmit,Network TX,1-Baseline,995.4968725353392,0.004505426991603522
network_transmit,Network TX,1-Baseline,999.0823624595467,0.004710219127585501
network_transmit,Network TX,1-Baseline,1009.9912774354752,0.004915011263567479
network_transmit,Network TX,1-Baseline,1010.918519711674,0.005119803399549457
network_transmit,Network TX,1-Baseline,1012.2316532817764,0.005324595535531436
network_transmit,Network TX,1-Baseline,1014.7041950974284,0.005529387671513414
network_transmit,Network TX,1-Baseline,1014.7041950974284,0.0057341798074953924
network_transmit,Network TX,1-Baseline,1015.5906671933692,0.00593897194347737
network_transmit,Network TX,1-Baseline,1019.1081986185612,0.006143764079459349
network_transmit,Network TX,1-Baseline,1019.1974085673874,0.006348556215441327
network_transmit,Network TX,1-Baseline,1027.0790520599692,0.006553348351423305
network_transmit,Network TX,1-Baseline,1032.752183701893,0.006758140487405284
network_transmit,Network TX,1-Baseline,1045.318250671098,0.006962932623387262
network_transmit,Network TX,1-Baseline,1046.5220068689264,0.0071677247593692405
network_transmit,Network TX,1-Baseline,1047.8245294097785,0.0073725168953512185
network_transmit,Network TX,1-Baseline,1051.2367985427584,0.007577309031333196
network_transmit,Network TX,1-Baseline,1058.6509125432249,0.007782101167315175
network_transmit,Network TX,1-Baseline,1061.084588810246,0.007986893303297153
network_transmit,Network TX,1-Baseline,1068.5633415350806,0.008191685439279131
network_transmit,Network TX,1-Baseline,1068.7128223579307,0.00839647757526111
network_transmit,Network TX,1-Baseline,1069.7615546118243,0.008601269711243089
network_transmit,Network TX,1-Baseline,1072.220721092344,0.008806061847225067
network_transmit,Network TX,1-Baseline,1086.3204111053235,0.009010853983207045
network_transmit,Network TX,1-Baseline,1090.3205863643475,0.009215646119189022
network_transmit,Network TX,1-Baseline,1095.9523892512286,0.009420438255171002
network_transmit,Network TX,1-Baseline,1102.501186069644,0.00962523039115298
network_transmit,Network TX,1-Baseline,1103.641184245657,0.009830022527134958
network_transmit,Network TX,1-Baseline,1105.613433681831,0.010034814663116936
network_transmit,Network TX,1-Baseline,1106.4438945801917,0.010239606799098914
network_transmit,Network TX,1-Baseline,1106.699970277902,0.010444398935080893
network_transmit,Network TX,1-Baseline,1110.8764469078285,0.010649191071062871
network_transmit,Network TX,1-Baseline,1119.0846183527524,0.01085398320704485
network_transmit,Network TX,1-Baseline,1121.0656009956988,0.011058775343026827
network_transmit,Network TX,1-Baseline,1122.6346327276708,0.011263567479008805
network_transmit,Network TX,1-Baseline,1125.6992098654075,0.011468359614990785
network_transmit,Network TX,1-Baseline,1138.134243201857,0.011673151750972763
network_transmit,Network TX,1-Baseline,1139.394514175165,0.01187794388695474
network_transmit,Network TX,1-Baseline,1141.0816599201785,0.012082736022936719
network_transmit,Network TX,1-Baseline,1141.3648226758312,0.012287528158918698
network_transmit,Network TX,1-Baseline,1142.4492773355678,0.012492320294900676
network_transmit,Network TX,1-Baseline,1144.2772793053546,0.012697112430882654
network_transmit,Network TX,1-Baseline,1144.832378158326,0.012901904566864632
network_transmit,Network TX,1-Baseline,1155.2709934856598,0.01310669670284661
