tenant1,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,1.0,0.4306720763961977,0.3199780397278066,0.212775002057971
tenant-dsk,0.4306720763961977,1.0,0.4054993620386216,0.0646073256430774
tenant-mem,0.3199780397278066,0.4054993620386216,1.0,0.2187366900142784
tenant-ntk,0.212775002057971,0.0646073256430774,0.2187366900142784,1.0
