metric_name,metric_pretty,phase,count,mean,std,min,q1,median,q3,max
memory_usage,Memory Usage,1-Baseline,5009,368205270.39808345,124986732.64941898,113864704.0,255897600.0,380510208.0,475934720.0,607653888.0
memory_usage,Memory Usage,2-CPU-Noise,6204,346022972.0799484,125644489.0739382,75931648.0,242102272.0,298428416.0,464515072.0,605171712.0
memory_usage,Memory Usage,3-Memory-Noise,6211,358570733.4934793,121773961.82926896,101908480.0,259256320.0,319565824.0,472035328.0,614891520.0
memory_usage,Memory Usage,4-Network-Noise,6151,406439726.5719395,127279144.88090113,107421696.0,282693632.0,454828032.0,513081344.0,651575296.0
memory_usage,Memory Usage,5-Disk-Noise,6124,429961567.14304376,136439542.76404187,114950144.0,295276544.0,468033536.0,542175232.0,676970496.0
memory_usage,Memory Usage,6-Combined-Noise,5073,489144736.6244826,213294001.76279116,96997376.0,303783936.0,480014336.0,570204160.0,977776640.0
memory_usage,Memory Usage,7-Recovery,5065,347435455.2039487,151255266.7500028,105611264.0,217657344.0,310915072.0,492789760.0,800591872.0
