metric_name,tenant_id,mean_divergence,stability_score
cpu_usage,tenant-cpu,0.07265107110902293,0.9322696139818251
cpu_usage,tenant-mem,0.14320605570315922,0.874732945133783
cpu_usage,tenant-dsk,0.38420470361690845,0.7224364990142089
cpu_usage,tenant-ntk,7.705803150811999,0.1148659098622887
cpu_usage,tenant-nsy,0.29864027319911585,0.7700361837205041
memory_usage,tenant-cpu,5.614970022513757,0.15117226481700513
memory_usage,tenant-mem,0.14814602428407805,0.870969353069481
memory_usage,tenant-dsk,5.125073600935312,0.16326334427186276
memory_usage,tenant-ntk,0.7505979308393367,0.5712333953922492
memory_usage,tenant-nsy,0.20458807052338926,0.830159308788027
