round_id,metric_name,experimental_phase,tenant_id,baseline_phase,effect_size,p_value,t_statistic,eta_squared,sample_size_baseline,sample_size_experimental,result_quality
round-1,cpu_usage,2 - CPU Noise,tenant-cpu,1 - Baseline,-0.8372056070418187,8.835767936099775e-06,4.695780240837517,0.13414359658798825,97,201,high
round-1,cpu_usage,2 - CPU Noise,tenant-dsk,1 - Baseline,0.09430026214229086,0.5380934032226591,-0.6174695988585613,0.001961701047190321,97,201,high
round-1,cpu_usage,2 - CPU Noise,tenant-mem,1 - Baseline,0.63373928092582,6.471942609515332e-05,-4.140930165101819,0.08153493202126157,97,201,high
round-1,cpu_usage,2 - CPU Noise,tenant-ntk,1 - Baseline,-0.26802995120383094,0.04927863906753675,1.981948610186303,0.01563091625967415,97,201,high
round-1,cpu_usage,3 - Memory Noise,tenant-cpu,1 - Baseline,-0.8372270057296293,8.831551996962105e-06,4.695900271551637,0.13414953408496563,97,201,high
round-1,cpu_usage,3 - Memory Noise,tenant-dsk,1 - Baseline,-0.20322131387662498,0.17895521058294875,1.351657639875807,0.009045901707181872,97,201,high
round-1,cpu_usage,3 - Memory Noise,tenant-mem,1 - Baseline,0.023292932994430596,0.8776250913328497,-0.15430224858806157,0.00011991019019807574,97,201,high
round-1,cpu_usage,3 - Memory Noise,tenant-ntk,1 - Baseline,-0.8254177730028692,1.1473917519521308e-08,6.043846433229126,0.1308836423049782,97,201,high
round-1,cpu_usage,4 - Network Noise,tenant-cpu,1 - Baseline,-0.8296413103529705,8.928282885652974e-06,4.693160153091313,0.13305719942002198,97,196,high
round-1,cpu_usage,4 - Network Noise,tenant-dsk,1 - Baseline,0.11059453387371275,0.45384354515171355,-0.751298789260406,0.0027198921141220337,97,196,high
round-1,cpu_usage,4 - Network Noise,tenant-mem,1 - Baseline,0.6611990685742651,1.269826408499853e-05,-4.537530407609614,0.08882467234239749,97,196,high
round-1,cpu_usage,4 - Network Noise,tenant-ntk,1 - Baseline,0.4547458108520644,0.0003744445863835972,-3.6238166825462645,0.04407850319447685,97,196,high
round-1,cpu_usage,5 - Disk Noise,tenant-cpu,1 - Baseline,-0.8209738413416543,8.942475765335413e-06,4.692760530812289,0.13184258150933884,97,190,high
round-1,cpu_usage,5 - Disk Noise,tenant-dsk,1 - Baseline,0.7113624171704832,1.5716840736038458e-06,-5.015922329356851,0.10234991541435944,97,190,high
round-1,cpu_usage,5 - Disk Noise,tenant-mem,1 - Baseline,1.0086854067354154,8.922477252167923e-11,-7.0311764402781645,0.18649607863806927,97,190,high
round-1,cpu_usage,5 - Disk Noise,tenant-ntk,1 - Baseline,0.6739892644288523,2.8759189476881775e-07,-5.32581708715865,0.09285033615508868,97,190,high
round-1,cpu_usage,6 - Combined Noise,tenant-cpu,1 - Baseline,-0.824184864264892,8.874814010629777e-06,4.694671197029923,0.1323402482693629,97,192,high
round-1,cpu_usage,6 - Combined Noise,tenant-dsk,1 - Baseline,0.5653545113833471,0.0001594095315202277,-3.8875761212083475,0.06696284343053874,97,192,high
round-1,cpu_usage,6 - Combined Noise,tenant-mem,1 - Baseline,0.7286112561647645,3.237633522828763e-06,-4.874466117406449,0.1065065570338954,97,192,high
round-1,cpu_usage,6 - Combined Noise,tenant-ntk,1 - Baseline,-0.3172602401523898,0.01984700479059969,2.3532628267457074,0.022101328360056762,97,192,high
round-1,cpu_usage,7 - Recovery,tenant-cpu,1 - Baseline,-0.6811674977403974,8.858737781515506e-06,4.695127233818659,0.10485152620281646,97,101,high
round-1,cpu_usage,7 - Recovery,tenant-dsk,1 - Baseline,0.20044953918128627,0.16487354687045536,-1.395604801038738,0.010041508403333066,97,101,high
round-1,cpu_usage,7 - Recovery,tenant-mem,1 - Baseline,0.3668127015779216,0.011748183889132388,-2.5516442629719456,0.03285139288249009,97,101,high
round-1,cpu_usage,7 - Recovery,tenant-ntk,1 - Baseline,0.07811948030041561,0.5846070761993052,-0.5476145519431952,0.0015382324791821647,97,101,high
round-1,memory_usage,2 - CPU Noise,tenant-cpu,1 - Baseline,-0.6742862234218245,0.0001822939322997264,3.888658868321088,0.09218192479991517,100,201,high
round-1,memory_usage,2 - CPU Noise,tenant-dsk,1 - Baseline,0.6647041529721147,4.535646629524164e-05,-4.239811071354666,0.08953892964573,99,201,high
round-1,memory_usage,2 - CPU Noise,tenant-mem,1 - Baseline,0.5968647532347081,0.00020532981200983836,-3.8334253352861536,0.0736991222431287,100,201,high
round-1,memory_usage,2 - CPU Noise,tenant-ntk,1 - Baseline,1.6923279249423404,1.1267962085491983e-20,-11.255340549586167,0.38930344388970795,99,201,high
round-1,memory_usage,3 - Memory Noise,tenant-cpu,1 - Baseline,-0.6885806937919712,0.00013927600146579122,3.9639360803831147,0.0957535471424827,100,201,high
round-1,memory_usage,3 - Memory Noise,tenant-dsk,1 - Baseline,0.798999050880679,1.1938048499969415e-06,-5.12556000582861,0.12441796716218599,99,201,high
round-1,memory_usage,3 - Memory Noise,tenant-mem,1 - Baseline,0.6025947797021703,8.09829284075109e-05,-4.07275750016257,0.07501430980107139,100,201,high
round-1,memory_usage,3 - Memory Noise,tenant-ntk,1 - Baseline,2.063164759304651,8.039288033154345e-24,-12.888648967054568,0.4865110205795712,99,201,high
round-1,memory_usage,4 - Network Noise,tenant-cpu,1 - Baseline,-0.6877201313989612,0.00012833770127537806,3.9864787211491155,0.09612165055963877,100,197,high
round-1,memory_usage,4 - Network Noise,tenant-dsk,1 - Baseline,0.788234717437627,1.989174330828741e-07,-5.482207600749644,0.1222241747457529,99,197,high
round-1,memory_usage,4 - Network Noise,tenant-mem,1 - Baseline,0.7994492087604214,1.9877486740381446e-07,-5.489862996077992,0.12564806136367046,100,197,high
round-1,memory_usage,4 - Network Noise,tenant-ntk,1 - Baseline,1.9408936166681436,6.885278894166341e-23,-12.38147756542174,0.45777117571397424,99,197,high
round-1,memory_usage,5 - Disk Noise,tenant-cpu,1 - Baseline,-0.6851108847762102,0.00011458326576670031,4.017740049940674,0.09647705464296633,100,190,high
round-1,memory_usage,5 - Disk Noise,tenant-dsk,1 - Baseline,0.8343230589598176,1.1828790574762648e-07,-5.614882817915788,0.1363392044493147,99,190,high
round-1,memory_usage,5 - Disk Noise,tenant-mem,1 - Baseline,0.43017492724094253,0.005587902539002013,-2.8218195951520575,0.04039662384659379,100,190,high
round-1,memory_usage,5 - Disk Noise,tenant-ntk,1 - Baseline,1.796248657004133,1.875819335744574e-22,-11.974872242783327,0.4225377793501004,99,190,high
round-1,memory_usage,6 - Combined Noise,tenant-cpu,1 - Baseline,-0.6896557216582939,0.00010973671585394015,4.0296364085795915,0.09734362608028944,100,192,high
round-1,memory_usage,6 - Combined Noise,tenant-dsk,1 - Baseline,0.8249586354797116,1.7164268728874196e-07,-5.536113753722085,0.13331292504172546,99,192,high
round-1,memory_usage,6 - Combined Noise,tenant-mem,1 - Baseline,0.6368753679599528,3.219848356005594e-05,-4.310201420278478,0.08422092373103694,100,192,high
round-1,memory_usage,6 - Combined Noise,tenant-ntk,1 - Baseline,1.6762446540060867,7.132636422385282e-24,-12.102882720447296,0.3884047360055901,99,192,high
round-1,memory_usage,7 - Recovery,tenant-cpu,1 - Baseline,-0.5675235278338128,0.00012089465240166292,4.0029201718695555,0.07521120400855344,100,101,high
round-1,memory_usage,7 - Recovery,tenant-dsk,1 - Baseline,0.9531271425767218,5.612191665489747e-10,-6.692936397371082,0.18658447826312918,99,101,high
round-1,memory_usage,7 - Recovery,tenant-mem,1 - Baseline,0.6697281963999143,5.7465563463627605e-06,-4.730405817932381,0.1017357356411637,100,101,high
round-1,memory_usage,7 - Recovery,tenant-ntk,1 - Baseline,1.5721753467245307,3.053496310586573e-21,-11.057472619981624,0.3842793597229281,99,101,high
round-2,cpu_usage,2 - CPU Noise,tenant-cpu,1 - Baseline,-0.8354970769776175,7.723239756899071e-06,4.72678253899556,0.13407950126808674,98,201,high
round-2,cpu_usage,2 - CPU Noise,tenant-dsk,1 - Baseline,-0.08001237043802555,0.6080977389040958,0.5141827406208073,0.0014180530545991029,98,201,high
round-2,cpu_usage,2 - CPU Noise,tenant-mem,1 - Baseline,0.25456652065933055,0.1037553101192786,-1.639691249074582,0.014170940831464232,98,201,high
round-2,cpu_usage,2 - CPU Noise,tenant-ntk,1 - Baseline,-0.5988127176277614,7.017377224493756e-05,4.106929497123497,0.07367810629676194,98,201,high
round-2,cpu_usage,3 - Memory Noise,tenant-cpu,1 - Baseline,-0.8339508578141756,7.747507869285113e-06,4.725997851340612,0.13385100103223332,98,200,high
round-2,cpu_usage,3 - Memory Noise,tenant-dsk,1 - Baseline,-0.05662237456008335,0.7170713497911905,0.36325921601120587,0.0007118934078663576,98,200,high
round-2,cpu_usage,3 - Memory Noise,tenant-mem,1 - Baseline,0.6082303632919176,8.549481992798632e-05,-4.0618079296814935,0.07595840077863418,98,200,high
