tenant_id,metric_name,experimental_phase,mean,volatility,baseline_mean,percentage_change,p_value,is_significant
tenant-cpu,cpu_usage,2 - CPU Noise,0.0009250263698453985,0.0001372978985759871,0.41494918283133453,-99.7770747821375,8.237638928674563e-06,True
tenant-cpu,cpu_usage,3 - Memory Noise,0.0009259691340470826,0.00013103595478948255,0.41494918283133453,-99.77684758221986,8.237991133364667e-06,True
tenant-cpu,cpu_usage,4 - Network Noise,0.001125538308925823,0.00021273559259822817,0.41494918283133453,-99.72875273515521,8.312892657347265e-06,True
tenant-cpu,cpu_usage,5 - Disk Noise,0.0010863674715271053,0.0001667104578554937,0.41494918283133453,-99.73819264708162,8.298138823829274e-06,True
tenant-cpu,cpu_usage,6 - Combined Noise,0.0010112036772209423,0.00015503467753194127,0.41494918283133453,-99.75630662282036,8.26990036254881e-06,True
tenant-cpu,cpu_usage,7 - Recovery,0.000990496386373881,0.000154821512165475,0.41494918283133453,-99.7612969425279,8.262138130306824e-06,True
tenant-cpu,disk_throughput_total,2 - CPU Noise,0.0,0.0,0.0,,,False
tenant-cpu,disk_throughput_total,3 - Memory Noise,0.0,0.0,0.0,,,False
tenant-cpu,disk_throughput_total,4 - Network Noise,0.0,0.0,0.0,,,False
tenant-cpu,disk_throughput_total,5 - Disk Noise,0.0,0.0,0.0,,,False
tenant-cpu,disk_throughput_total,6 - Combined Noise,0.0,0.0,0.0,,,False
tenant-cpu,disk_throughput_total,7 - Recovery,0.0,0.0,0.0,,,False
tenant-cpu,memory_usage,2 - CPU Noise,2193530.88,67948.56305864225,3049616.8080808083,-28.07191794760478,1.582653349913142e-05,True
tenant-cpu,memory_usage,3 - Memory Noise,2206556.16,74185.79497921346,3049616.8080808083,-27.64480592600632,2.074197309992467e-05,True
tenant-cpu,memory_usage,4 - Network Noise,2193282.612244898,46378.82450531745,3049616.8080808083,-28.08005889680351,1.5707222879576554e-05,True
tenant-cpu,memory_usage,5 - Disk Noise,2187781.389473684,12859.728288204504,3049616.8080808083,-28.260449520197138,1.39779628774359e-05,True
tenant-cpu,memory_usage,6 - Combined Noise,2184554.6666666665,17329.757435949057,3049616.8080808083,-28.366257003893697,1.3068304271075159e-05,True
tenant-cpu,memory_usage,7 - Recovery,2197176.32,45440.56385935545,3049616.8080808083,-27.95238030633981,1.7062835702569734e-05,True
tenant-cpu,network_total_bandwidth,2 - CPU Noise,36.578672692220174,4.3445303692686394,36.85943183508072,-0.7617023076121743,0.6262047684899317,False
tenant-cpu,network_total_bandwidth,3 - Memory Noise,35.33419199394383,3.9468485212769777,36.85943183508072,-4.137990645002971,0.007258628577514341,True
tenant-cpu,network_total_bandwidth,4 - Network Noise,36.59749814052507,3.8889351529330662,36.85943183508072,-0.7106286817648598,0.6407491456671279,False
tenant-cpu,network_total_bandwidth,5 - Disk Noise,37.148318684610786,3.7834263257455136,36.85943183508072,0.7837528555041899,0.6057692515022488,False
tenant-cpu,network_total_bandwidth,6 - Combined Noise,36.21684254833157,3.732637567775918,36.85943183508072,-1.743351035968953,0.24965408300434827,False
tenant-cpu,network_total_bandwidth,7 - Recovery,36.879568551318684,3.812368713781481,36.85943183508072,0.05463110860759116,0.9740462700290711,False
