,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,,9.9171773614898e-05,0.03153346574637833,4.383190838694584e-11
tenant-dsk,3.1819952977581617e-84,,2.8328327859870766e-133,5.889119285964994e-91
tenant-mem,6.982525210314579e-13,8.051929935561325e-22,,3.7544291876020645e-14
tenant-ntk,3.212620511242464e-12,0.035719845819095986,0.5180106633136695,
