,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,,0.7566598114842165,0.22494818397660932,0.7242313651150234
tenant-dsk,0.0008163312851957493,,0.00222817638342016,0.12152151812511534
tenant-mem,0.006209467331283214,0.09565144721205682,,0.35326579609035
tenant-ntk,0.9924864818124932,0.8315574877749927,0.8783900442175779,
