metric,phase,tenant,coupling_index
cpu_usage,1-Baseline,tenant-cpu,0.6975495077569256
cpu_usage,1-Baseline,tenant-dsk,0.5384477203771167
cpu_usage,1-Baseline,tenant-mem,0.7550174591077605
cpu_usage,1-Baseline,tenant-nsy,0.0
cpu_usage,1-Baseline,tenant-ntk,0.36870262587487135
cpu_usage,2-CPU-Noise,tenant-cpu,1.4576583574723365
cpu_usage,2-CPU-Noise,tenant-dsk,0.7617427725998938
cpu_usage,2-CPU-Noise,tenant-mem,1.4987047216693479
cpu_usage,2-CPU-Noise,tenant-nsy,0.9937484915198573
cpu_usage,2-CPU-Noise,tenant-ntk,1.0240197937746696
cpu_usage,3-Memory-Noise,tenant-cpu,1.0337606247390068
cpu_usage,3-Memory-Noise,tenant-dsk,0.6685442732916782
cpu_usage,3-Memory-Noise,tenant-mem,1.0055791223940118
cpu_usage,3-Memory-Noise,tenant-nsy,0.612237985514533
cpu_usage,3-Memory-Noise,tenant-ntk,1.0918862559516516
cpu_usage,4-Network-Noise,tenant-cpu,1.6093339514403677
cpu_usage,4-Network-Noise,tenant-dsk,0.6415830076587041
cpu_usage,4-Network-Noise,tenant-mem,1.5690116363107367
cpu_usage,4-Network-Noise,tenant-nsy,1.3466046148949409
cpu_usage,4-Network-Noise,tenant-ntk,1.004846703328612
cpu_usage,5-Disk-Noise,tenant-cpu,0.8540633784104688
cpu_usage,5-Disk-Noise,tenant-dsk,0.9455516590314685
cpu_usage,5-Disk-Noise,tenant-mem,0.8147693471832687
cpu_usage,5-Disk-Noise,tenant-nsy,0.981745900893672
cpu_usage,5-Disk-Noise,tenant-ntk,1.2683504196610116
cpu_usage,6-Combined-Noise,tenant-cpu,1.3891237752363583
cpu_usage,6-Combined-Noise,tenant-dsk,0.781508677564621
cpu_usage,6-Combined-Noise,tenant-mem,1.3232267732897114
cpu_usage,6-Combined-Noise,tenant-nsy,0.7614928135111831
cpu_usage,6-Combined-Noise,tenant-ntk,1.2038103163081706
disk_io_total,1-Baseline,tenant-cpu,0.992355685122037
disk_io_total,1-Baseline,tenant-dsk,0.9878776712130957
disk_io_total,1-Baseline,tenant-mem,0.9651617539273185
disk_io_total,1-Baseline,tenant-nsy,0.0
disk_io_total,1-Baseline,tenant-ntk,0.6191829326418303
disk_io_total,2-CPU-Noise,tenant-cpu,0.7364824619699473
disk_io_total,2-CPU-Noise,tenant-dsk,0.8375803003157392
disk_io_total,2-CPU-Noise,tenant-mem,0.7640259631469581
disk_io_total,2-CPU-Noise,tenant-nsy,0.5929130858834761
disk_io_total,2-CPU-Noise,tenant-ntk,0.6628192969127737
disk_io_total,3-Memory-Noise,tenant-cpu,0.7853466171565833
disk_io_total,3-Memory-Noise,tenant-dsk,0.7743152005022169
disk_io_total,3-Memory-Noise,tenant-mem,0.7515735847698115
disk_io_total,3-Memory-Noise,tenant-nsy,0.7147458948611181
disk_io_total,3-Memory-Noise,tenant-ntk,0.713803433148527
disk_io_total,4-Network-Noise,tenant-cpu,0.9768223197964976
disk_io_total,4-Network-Noise,tenant-dsk,0.8653331949578713
disk_io_total,4-Network-Noise,tenant-mem,0.868340540935475
disk_io_total,4-Network-Noise,tenant-nsy,0.9193622110277115
disk_io_total,4-Network-Noise,tenant-ntk,0.9217788705117365
disk_io_total,5-Disk-Noise,tenant-cpu,0.7435652869961715
disk_io_total,5-Disk-Noise,tenant-dsk,0.8718763883437699
disk_io_total,5-Disk-Noise,tenant-mem,0.5837101950287076
disk_io_total,5-Disk-Noise,tenant-nsy,0.7735379914296148
disk_io_total,5-Disk-Noise,tenant-ntk,0.5569260770267812
disk_io_total,6-Combined-Noise,tenant-cpu,0.7786806109217821
