metric,phase,tenant1,tenant2,mean_correlation,std_correlation,count
cpu,usage_1-Baseline,tenant-cpu,tenant-cpu,1.0,0.0,10
cpu,usage_1-Baseline,tenant-cpu,tenant-dsk,0.2417037258671893,0.0723188953761724,10
cpu,usage_1-Baseline,tenant-cpu,tenant-mem,0.3354301515413269,0.09255745546554217,10
cpu,usage_1-Baseline,tenant-cpu,tenant-ntk,0.12041563034840941,0.17170806114245052,10
cpu,usage_1-Baseline,tenant-dsk,tenant-cpu,0.2417037258671893,0.0723188953761724,10
cpu,usage_1-Baseline,tenant-dsk,tenant-dsk,1.0,0.0,10
cpu,usage_1-Baseline,tenant-dsk,tenant-mem,0.23402215327494966,0.08404136107846831,10
cpu,usage_1-Baseline,tenant-dsk,tenant-ntk,-0.06272184123497802,0.2166632197039039,10
cpu,usage_1-Baseline,tenant-mem,tenant-cpu,0.3354301515413269,0.09255745546554217,10
cpu,usage_1-Baseline,tenant-mem,tenant-dsk,0.23402215327494966,0.08404136107846831,10
cpu,usage_1-Baseline,tenant-mem,tenant-mem,1.0,0.0,10
cpu,usage_1-Baseline,tenant-mem,tenant-ntk,0.18556515429148393,0.1278219603352226,10
cpu,usage_1-Baseline,tenant-ntk,tenant-cpu,0.12041563034840941,0.17170806114245052,10
cpu,usage_1-Baseline,tenant-ntk,tenant-dsk,-0.06272184123497802,0.2166632197039039,10
cpu,usage_1-Baseline,tenant-ntk,tenant-mem,0.18556515429148393,0.1278219603352226,10
cpu,usage_1-Baseline,tenant-ntk,tenant-ntk,1.0,0.0,10
cpu,usage_2-CPU-Noise,tenant-cpu,tenant-cpu,1.0,0.0,10
cpu,usage_2-CPU-Noise,tenant-cpu,tenant-dsk,0.16485425251128,0.07662324092115148,10
cpu,usage_2-CPU-Noise,tenant-cpu,tenant-mem,0.5515196425855342,0.06754504435727907,10
cpu,usage_2-CPU-Noise,tenant-cpu,tenant-nsy,-0.44600484901736426,0.05893115493090008,10
cpu,usage_2-CPU-Noise,tenant-cpu,tenant-ntk,0.2952796133581579,0.05127886931821217,10
cpu,usage_2-CPU-Noise,tenant-dsk,tenant-cpu,0.16485425251128,0.07662324092115148,10
cpu,usage_2-CPU-Noise,tenant-dsk,tenant-dsk,1.0,0.0,10
cpu,usage_2-CPU-Noise,tenant-dsk,tenant-mem,0.2042730035482155,0.08440246167325151,10
cpu,usage_2-CPU-Noise,tenant-dsk,tenant-nsy,-0.03977263283595918,0.0787409714938551,10
cpu,usage_2-CPU-Noise,tenant-dsk,tenant-ntk,0.35284288370443917,0.030572653354017532,10
cpu,usage_2-CPU-Noise,tenant-mem,tenant-cpu,0.5515196425855342,0.06754504435727907,10
cpu,usage_2-CPU-Noise,tenant-mem,tenant-dsk,0.2042730035482155,0.08440246167325151,10
cpu,usage_2-CPU-Noise,tenant-mem,tenant-mem,1.0,0.0,10
cpu,usage_2-CPU-Noise,tenant-mem,tenant-nsy,-0.4374928942450298,0.03726124009590422,10
cpu,usage_2-CPU-Noise,tenant-mem,tenant-ntk,0.30541918129056844,0.03530701817883616,10
cpu,usage_2-CPU-Noise,tenant-nsy,tenant-cpu,-0.44600484901736426,0.05893115493090008,10
cpu,usage_2-CPU-Noise,tenant-nsy,tenant-dsk,-0.03977263283595918,0.0787409714938551,10
cpu,usage_2-CPU-Noise,tenant-nsy,tenant-mem,-0.4374928942450298,0.03726124009590422,10
cpu,usage_2-CPU-Noise,tenant-nsy,tenant-nsy,1.0,0.0,10
cpu,usage_2-CPU-Noise,tenant-nsy,tenant-ntk,0.0704781154215041,0.05031896704428772,10
