,cpu_usage,disk_io_total,memory_usage,network_total_bandwidth
tenant-a,0.6741553732435753,20.728375704559554,0.07127326542787962,3.5773556421691435
tenant-c,10.304708405013484,,85.12235842776792,86.22775145990414
tenant-d,0.5442879730828142,6.2621513237853,57.7927549251195,2.010613225192528
tenant-b,1.011805756341303,2.951398326133046,4.511074470739436,0.8571809268196059
