,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,,0.09603594328735957,0.17405952124706,0.7749693515787861,0.0994932399399303
tenant-dsk,0.02406964769075783,,0.07040321657443893,0.02576561755051587,0.004885776833198361
tenant-mem,0.27044064214163405,0.024404300356528186,,0.007790841895282974,0.0801014735567975
tenant-nsy,0.48697301307572816,0.45430073765617585,0.7780633602527708,,0.004864480241084723
tenant-ntk,0.28366385292230945,0.12204124062224596,0.9207271540293256,0.19091236652091031,
