metric,phase,tenant1,tenant2,mean_correlation,std_dev_correlation,min_correlation,max_correlation,rounds_count
cpu_usage,1 - Baseline,tenant-cpu,tenant-dsk,-0.2686189746947155,0.026783783462463098,-0.2872917953564254,-0.2379315601025658,3
cpu_usage,1 - Baseline,tenant-cpu,tenant-mem,-0.2351337347794253,0.02802503845220856,-0.2628799402974994,-0.2068379471191861,3
cpu_usage,1 - Baseline,tenant-cpu,tenant-ntk,0.35304128024209547,0.31226160737435904,0.0045434661946875,0.6074105132957905,3
cpu_usage,1 - Baseline,tenant-dsk,tenant-mem,0.8656352652770499,0.019288731739140513,0.8433865131133595,0.8776540363910489,3
cpu_usage,1 - Baseline,tenant-dsk,tenant-ntk,0.04814435683549937,0.5554254767511406,-0.3272560483522974,0.6861815022431763,3
cpu_usage,1 - Baseline,tenant-mem,tenant-ntk,0.08450745332060842,0.5566473308344492,-0.2977671003790683,0.723144311310364,3
cpu_usage,2 - CPU Noise,tenant-cpu,tenant-dsk,0.1090281344022593,0.134719348481714,-0.0268271251143672,0.2425820866355524,3
cpu_usage,2 - CPU Noise,tenant-cpu,tenant-mem,0.14448722055293864,0.2122633646288868,-0.0926359388060005,0.3167627782577056,3
cpu_usage,2 - CPU Noise,tenant-cpu,tenant-nsy,0.024896217149227396,0.08097699454152289,-0.0612832453915036,0.0994040772964195,3
cpu_usage,2 - CPU Noise,tenant-cpu,tenant-ntk,0.12950379287830202,0.14736724872575466,-0.0332853747079315,0.2538154034141269,3
cpu_usage,2 - CPU Noise,tenant-dsk,tenant-mem,0.3238396899021872,0.009832922586948503,0.3170153851910162,0.3351104690785181,3
cpu_usage,2 - CPU Noise,tenant-dsk,tenant-nsy,0.10791764252159752,0.10062959599467407,0.0250509642508008,0.2198928189900603,3
cpu_usage,2 - CPU Noise,tenant-dsk,tenant-ntk,0.2525401870216373,0.05747607206672241,0.2008110372133762,0.3144126798786977,3
cpu_usage,2 - CPU Noise,tenant-mem,tenant-nsy,0.1564636567631494,0.10366019657508428,0.0484121994205948,0.255088693485087,3
cpu_usage,2 - CPU Noise,tenant-mem,tenant-ntk,0.3098082121465972,0.027307558623734872,0.2864052478577612,0.3398107517703063,3
cpu_usage,2 - CPU Noise,tenant-nsy,tenant-ntk,0.04690933598003124,0.09761651523747598,-0.0648102059933223,0.11573220856534,3
cpu_usage,3 - Memory Noise,tenant-cpu,tenant-dsk,0.17625019028987365,0.12923536437254435,0.1008807258972414,0.3254757772542079,3
cpu_usage,3 - Memory Noise,tenant-cpu,tenant-mem,0.22086141174357019,0.1481249414443973,0.0968114873321838,0.3848653446640785,3
cpu_usage,3 - Memory Noise,tenant-cpu,tenant-nsy,0.17469743780512384,0.16585048214026904,-0.0141540992763293,0.2966496505884166,3
cpu_usage,3 - Memory Noise,tenant-cpu,tenant-ntk,0.18720430849710135,0.08975878399009683,0.1266008673963651,0.2903212506597331,3
cpu_usage,3 - Memory Noise,tenant-dsk,tenant-mem,0.31851411115182926,0.02146745402535353,0.2982351660294012,0.3409996304840478,3
