tenant_id,metric_name,experimental_phase,mean_change,median_change,std_dev,min_change,max_change,rounds_count,significance_count,significance_freq
tenant-cpu,cpu_usage,2 - CPU Noise,-99.78220455248191,-99.78146313131728,0.005537830751550348,-99.78807574399096,-99.7770747821375,3,3,100.0
tenant-cpu,cpu_usage,3 - Memory Noise,-99.77745720123353,-99.77684758221986,0.0062739791913652854,-99.7840137375728,-99.77151028390796,3,3,100.0
tenant-cpu,cpu_usage,4 - Network Noise,-99.72603190146936,-99.72578913551222,0.0026079389298985273,-99.7287527351552,-99.72355383374062,3,3,100.0
tenant-cpu,cpu_usage,5 - Disk Noise,-99.72727556264591,-99.72633619167014,0.010479024675391316,-99.73819264708162,-99.71729784918598,3,3,100.0
tenant-cpu,cpu_usage,6 - Combined Noise,-99.75897252029516,-99.75789718140152,0.0033361813984602463,-99.7627137566636,-99.75630662282036,3,3,100.0
tenant-cpu,cpu_usage,7 - Recovery,-99.76819214899776,-99.76758833336412,0.0072160861306484044,-99.77569117110124,-99.7612969425279,3,3,100.0
tenant-cpu,disk_throughput_total,2 - CPU Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-cpu,disk_throughput_total,3 - Memory Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-cpu,disk_throughput_total,4 - Network Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-cpu,disk_throughput_total,5 - Disk Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-cpu,disk_throughput_total,6 - Combined Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-cpu,disk_throughput_total,7 - Recovery,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-cpu,memory_usage,2 - CPU Noise,-27.145171750619415,-28.07191794760478,2.529889874997987,-29.081006624437016,-24.282590679816455,3,3,100.0
tenant-cpu,memory_usage,3 - Memory Noise,-27.213398848270575,-27.64480592600632,2.2903592764290854,-29.25737704918032,-24.73801356962509,3,3,100.0
tenant-cpu,memory_usage,4 - Network Noise,-27.36259000108727,-28.08005889680351,2.2123968980182815,-29.127208755624057,-24.880502350834245,3,3,100.0
tenant-cpu,memory_usage,5 - Disk Noise,-27.451000246752955,-28.260449520197135,2.0946585436388134,-29.02015208026136,-25.07239913980037,3,3,100.0
tenant-cpu,memory_usage,6 - Combined Noise,-27.616402861712974,-28.366257003893697,2.1949770217573463,-29.338190649666057,-25.14476093157917,3,3,100.0
