tenant1,tenant2,covariance,metric,phase,round_id
tenant-cpu,tenant-dsk,0.010781432977602614,cpu_usage,1-Baseline,round-2
tenant-cpu,tenant-mem,0.023170160905183142,cpu_usage,1-Baseline,round-2
tenant-cpu,tenant-ntk,0.013912458108594615,cpu_usage,1-Baseline,round-2
tenant-dsk,tenant-mem,0.009420824959282675,cpu_usage,1-Baseline,round-2
tenant-dsk,tenant-ntk,0.002341042911579991,cpu_usage,1-Baseline,round-2
tenant-mem,tenant-ntk,0.019988528986649722,cpu_usage,1-Baseline,round-2
tenant-cpu,tenant-dsk,0.006426869672458435,cpu_usage,2-CPU-Noise,round-2
tenant-cpu,tenant-mem,0.0326294072373589,cpu_usage,2-CPU-Noise,round-2
tenant-cpu,tenant-nsy,-0.06322739141289342,cpu_usage,2-CPU-Noise,round-2
tenant-cpu,tenant-ntk,0.015810811563563478,cpu_usage,2-CPU-Noise,round-2
tenant-dsk,tenant-mem,0.002421885177542207,cpu_usage,2-CPU-Noise,round-2
tenant-dsk,tenant-nsy,-0.001530215234442986,cpu_usage,2-CPU-Noise,round-2
tenant-dsk,tenant-ntk,0.007795124995022636,cpu_usage,2-CPU-Noise,round-2
tenant-mem,tenant-nsy,-0.05601000105766052,cpu_usage,2-CPU-Noise,round-2
tenant-mem,tenant-ntk,0.014287993069505107,cpu_usage,2-CPU-Noise,round-2
tenant-nsy,tenant-ntk,0.007099843094717546,cpu_usage,2-CPU-Noise,round-2
tenant-cpu,tenant-dsk,0.001342419167868912,cpu_usage,3-Memory-Noise,round-2
tenant-cpu,tenant-mem,0.027324647161485888,cpu_usage,3-Memory-Noise,round-2
tenant-cpu,tenant-nsy,-0.021362537036675795,cpu_usage,3-Memory-Noise,round-2
tenant-cpu,tenant-ntk,0.011691475671254815,cpu_usage,3-Memory-Noise,round-2
tenant-dsk,tenant-mem,0.0007939887131763918,cpu_usage,3-Memory-Noise,round-2
tenant-dsk,tenant-nsy,0.005784054009242081,cpu_usage,3-Memory-Noise,round-2
tenant-dsk,tenant-ntk,0.009164618846937228,cpu_usage,3-Memory-Noise,round-2
tenant-mem,tenant-nsy,-0.019910894414784195,cpu_usage,3-Memory-Noise,round-2
tenant-mem,tenant-ntk,0.012634231831824605,cpu_usage,3-Memory-Noise,round-2
tenant-nsy,tenant-ntk,0.02137030823029462,cpu_usage,3-Memory-Noise,round-2
tenant-cpu,tenant-dsk,0.0022083050748289593,cpu_usage,4-Network-Noise,round-2
tenant-cpu,tenant-mem,0.03920701145617731,cpu_usage,4-Network-Noise,round-2
tenant-cpu,tenant-nsy,-0.07810484784008444,cpu_usage,4-Network-Noise,round-2
tenant-cpu,tenant-ntk,0.019591011846384603,cpu_usage,4-Network-Noise,round-2
tenant-dsk,tenant-mem,0.0029855287131062202,cpu_usage,4-Network-Noise,round-2
tenant-dsk,tenant-nsy,0.0016094224438876505,cpu_usage,4-Network-Noise,round-2
tenant-dsk,tenant-ntk,0.007453463196300178,cpu_usage,4-Network-Noise,round-2
tenant-mem,tenant-nsy,-0.0647743931171587,cpu_usage,4-Network-Noise,round-2
tenant-mem,tenant-ntk,0.02102249976544342,cpu_usage,4-Network-Noise,round-2
tenant-nsy,tenant-ntk,0.008114951634452262,cpu_usage,4-Network-Noise,round-2
tenant-cpu,tenant-dsk,0.0030649689087089674,cpu_usage,5-Disk-Noise,round-2
tenant-cpu,tenant-mem,0.01738415182602821,cpu_usage,5-Disk-Noise,round-2
tenant-cpu,tenant-nsy,0.002607647179174047,cpu_usage,5-Disk-Noise,round-2
tenant-cpu,tenant-ntk,0.01858034101124266,cpu_usage,5-Disk-Noise,round-2
tenant-dsk,tenant-mem,0.0024515394670634205,cpu_usage,5-Disk-Noise,round-2
tenant-dsk,tenant-nsy,0.0022068326601150396,cpu_usage,5-Disk-Noise,round-2
tenant-dsk,tenant-ntk,0.007750630909521675,cpu_usage,5-Disk-Noise,round-2
tenant-mem,tenant-nsy,0.0033893306149738716,cpu_usage,5-Disk-Noise,round-2
