tenant_id,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,49672.5559732088,2997.2828500953738,5870.6007412271,9190.517837826948,-55088.862087153044
tenant-dsk,2997.2828500953738,59283.88460035678,20003.493069267348,13182.626826937085,1988854.1186463744
tenant-mem,5870.6007412271,20003.493069267348,40741.26070515616,15221.509333512038,611042.5003219199
tenant-nsy,9190.517837826948,13182.626826937085,15221.509333512038,50401.11014326531,556962.1693401674
tenant-ntk,-55088.862087153044,1988854.1186463744,611042.5003219199,556962.1693401674,787344644.7658485
