tenant_id,metric_name,experimental_phase,mean,volatility,count,baseline_mean,baseline_std,baseline_count,percentage_change,cohen_d,p_value,is_significant,round_id
tenant-cpu,cpu_usage,2-CPU-Noise,2.5900432540010043,0.254922523439849,360,3.8071447824280136,0.2864755835505873,325,-31.96887951423798,-4.501945888147268,1.3686088169691548e-261,True,round-2
tenant-cpu,cpu_usage,3-Memory-Noise,2.927919232893034,0.2320953084647557,358,3.8071447824280136,0.2864755835505873,325,-23.094092811838166,-3.3895435498409516,1.6759074176691908e-192,True,round-2
tenant-cpu,cpu_usage,4-Network-Noise,2.4387192961222266,0.26003872858402005,355,3.8071447824280136,0.2864755835505873,325,-35.94361560983428,-5.012697170381954,4.516120502770739e-288,True,round-2
tenant-cpu,cpu_usage,5-Disk-Noise,3.421289303376942,0.2322019032482601,365,3.8071447824280136,0.2864755835505873,325,-10.135035600221947,-1.4887505170314255,2.2954048622725797e-65,True,round-2
tenant-cpu,cpu_usage,6-Combined-Noise,1.6576119320942495,0.17561194324707557,355,3.8071447824280136,0.2864755835505873,325,-56.460496597213606,-9.139047298944693,0.0,True,round-2
tenant-cpu,cpu_usage,7-Recovery,3.7417653785257063,0.40167661334157606,361,3.8071447824280136,0.2864755835505873,325,-1.7172817856591047,-0.1858206554417442,0.013687827284280453,True,round-2
tenant-cpu,disk_io_total,2-CPU-Noise,296454.53464952274,39104.42987766747,360,291660.34869625536,44561.46230856173,325,1.6437565046801088,0.114742645410457,0.13680119498663293,False,round-2
tenant-cpu,disk_io_total,3-Memory-Noise,298501.79948708595,37788.525270900514,359,291660.34869625536,44561.46230856173,325,2.3456910825939894,0.1662749143383022,0.03161011480399217,True,round-2
tenant-cpu,disk_io_total,4-Network-Noise,287060.4136951991,36176.14171582737,355,291660.34869625536,44561.46230856173,325,-1.577154735505976,-0.1138569707810423,0.14215652778577215,False,round-2
tenant-cpu,disk_io_total,5-Disk-Noise,299209.9325210825,36392.961845223384,365,291660.34869625536,44561.46230856173,325,2.5884848106965492,0.18665928293155126,0.01583748582988707,True,round-2
tenant-cpu,disk_io_total,6-Combined-Noise,288120.00383251585,38273.27823524097,355,291660.34869625536,44561.46230856173,325,-1.2138588188504622,-0.08552056673507547,0.26889853722273227,False,round-2
tenant-cpu,disk_io_total,7-Recovery,286157.6773060476,44170.19246765818,361,291660.34869625536,44561.46230856173,325,-1.88667105926642,-0.12405708860440444,0.10534802042332175,False,round-2
tenant-cpu,memory_usage,2-CPU-Noise,262456285.86666667,44850809.44637192,360,246379289.99384615,50506778.48426248,325,6.525303272536455,0.33762643529535696,1.3468512821295776e-05,True,round-2
tenant-cpu,memory_usage,3-Memory-Noise,261122871.77653632,52016615.76491034,358,246379289.99384615,50506778.48426248,325,5.984099468367824,0.2873778527657661,0.00018736789628085956,True,round-2
tenant-cpu,memory_usage,4-Network-Noise,253631785.10422534,50050214.63953733,355,246379289.99384615,50506778.48426248,325,2.943630168980654,0.14427395957746217,0.06074342518380693,False,round-2
tenant-cpu,memory_usage,5-Disk-Noise,276188129.13972604,47343447.27361686,365,246379289.99384615,50506778.48426248,325,12.098760064867642,0.6101032842160886,6.915146698313332e-15,True,round-2
tenant-cpu,memory_usage,6-Combined-Noise,282117711.3239437,47184939.05460646,355,246379289.99384615,50506778.48426248,325,14.505448623944883,0.7323359334372809,3.4396697569940674e-20,True,round-2
tenant-cpu,memory_usage,7-Recovery,283970199.7562327,56918489.86280892,361,246379289.99384615,50506778.48426248,325,15.257333424138631,0.6964324916288797,5.709256825275689e-19,True,round-2
tenant-cpu,network_throughput,2-CPU-Noise,10635.659472334173,1573.6468785820564,360,10820.26826924144,1761.9966034566667,325,-1.7061388157265065,-0.11083267225570143,0.150298571189451,False,round-2
tenant-cpu,network_throughput,3-Memory-Noise,10437.866037471289,1677.9365204904661,358,10820.26826924144,1761.9966034566667,325,-3.5341289352057768,-0.22252835463284948,0.0038842063476681424,True,round-2
tenant-cpu,network_throughput,4-Network-Noise,10366.147029323192,1395.1644565415545,355,10820.26826924144,1761.9966034566667,325,-4.196949914903396,-0.28721521281539664,0.0002317430783006841,True,round-2
tenant-cpu,network_throughput,5-Disk-Noise,10709.151800882672,1483.924380261761,365,10820.26826924144,1761.9966034566667,325,-1.0269289595585822,-0.06855524258132949,0.3737740144953605,False,round-2
tenant-cpu,network_throughput,6-Combined-Noise,10750.27118295363,1514.2192099099832,355,10820.26826924144,1761.9966034566667,325,-0.6469071241679851,-0.04275125415311743,0.5803347006033548,False,round-2
tenant-cpu,network_throughput,7-Recovery,10676.123600377485,1598.1373587930009,361,10820.26826924144,1761.9966034566667,325,-1.3321727823857423,-0.0859154134750638,0.2640395883444163,False,round-2
tenant-dsk,cpu_usage,2-CPU-Noise,0.8927352235577115,0.09330361582590609,360,0.92596460190984,0.12736536678959495,325,-3.588622965023881,-0.2999710417044071,0.00012575127907248846,True,round-2
tenant-dsk,cpu_usage,3-Memory-Noise,0.89084040555785,0.1015871532148691,358,0.92596460190984,0.12736536678959495,325,-3.7932547615259633,-0.30655474795987847,8.424415178141754e-05,True,round-2
tenant-dsk,cpu_usage,4-Network-Noise,0.8646876999606385,0.09175224850199075,355,0.92596460190984,0.12736536678959495,325,-6.617628991736327,-0.5559711054240726,2.7597048810436288e-12,True,round-2
tenant-dsk,cpu_usage,5-Disk-Noise,0.9313000320843687,0.08512322693794223,365,0.92596460190984,0.12736536678959495,325,0.5762023908391543,0.049811606748052795,0.5232320933018664,False,round-2
tenant-dsk,cpu_usage,6-Combined-Noise,0.9319840472084466,0.09570549220969286,355,0.92596460190984,0.12736536678959495,325,0.6500729386621582,0.053765429097021755,0.4893465218048427,False,round-2
