,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,,0.21230896186675788,0.2215676845197153,0.27516402334311935
tenant-dsk,0.1824184326701639,,0.13263698487247827,0.14778991008425021
tenant-mem,0.21470871184826382,0.2361197610846141,,0.24230716169666944
tenant-ntk,0.2642709051078949,0.13628207337592824,0.20807188214769481,
