tenant_id,causality_impact_score,causality_affected_score,correlation_strength,total_phase_variation,cpu_noise_variation,memory_noise_variation,network_noise_variation,disk_noise_variation,combined_noise_variation,noisy_score,metrics_count,variation_metrics_count
tenant-ntk,1.1701062299715896,0.0,0.20185473709017254,0.0,0.0,0.0,0.0,0.0,0.0,0.6456095361128465,54,4
tenant-cpu,1.1476464005602558,0.0,0.15686010250322885,0.0,0.0,0.0,0.0,0.0,0.0,0.6208812310310966,55,4
tenant-nsy,1.1678730335308114,0.0,0.12162110700171992,0.0,0.0,0.0,0.0,0.0,0.0,0.6204228488659217,62,4
tenant-mem,1.087624557912651,0.0,0.15382778009801443,0.0,0.0,0.0,0.0,0.0,0.0,0.5899606129857298,65,4
