tenant_id,causality_impact_score,causality_affected_score,correlation_strength,total_phase_variation,cpu_noise_variation,memory_noise_variation,network_noise_variation,disk_noise_variation,combined_noise_variation,noisy_score,metrics_count,variation_metrics_count
tenant-mem,0.0,0.0,0.27227348233854015,0.0,0.0,0.0,0.0,0.0,0.0,0.08168204470156204,42,6
tenant-ntk,0.0,0.0,0.2560488304029692,0.0,0.0,0.0,0.0,0.0,0.0,0.07681464912089077,42,6
tenant-dsk,0.0,0.0,0.24626767888696333,0.0,0.0,0.0,0.0,0.0,0.0,0.073880303666089,42,6
tenant-nsy,0.0,0.0,0.19360763716351065,0.0,0.0,0.0,0.0,0.0,0.0,0.058082291149053195,36,0
tenant-cpu,0.0,0.0,0.1648523125946208,0.0,0.0,0.0,0.0,0.0,0.0,0.04945569377838624,42,6
