source,target,frequency,consistency_rate
tenant-cpu,tenant-dsk,224,28.0
tenant-cpu,tenant-mem,224,28.0
tenant-cpu,tenant-nsy,192,24.0
tenant-cpu,tenant-ntk,224,28.0
tenant-dsk,tenant-cpu,224,28.0
tenant-dsk,tenant-mem,224,28.0
tenant-dsk,tenant-nsy,192,24.0
tenant-dsk,tenant-ntk,224,28.0
tenant-mem,tenant-cpu,224,28.0
tenant-mem,tenant-dsk,224,28.0
tenant-mem,tenant-nsy,192,24.0
tenant-mem,tenant-ntk,224,28.0
tenant-nsy,tenant-cpu,192,24.0
tenant-nsy,tenant-dsk,192,24.0
tenant-nsy,tenant-mem,192,24.0
tenant-nsy,tenant-ntk,192,24.0
tenant-ntk,tenant-cpu,224,28.0
tenant-ntk,tenant-dsk,224,28.0
tenant-ntk,tenant-mem,224,28.0
tenant-ntk,tenant-nsy,192,24.0
