metric_name,tenant_id,mean_cohen_d,std_cohen_d,num_rounds_x,mean_percentage_change,std_percentage_change,num_rounds_y
cpu_usage,tenant-cpu,-3.917031056676775,2.8574792917411065,60,-26.644171700978642,18.19604480194371,60
cpu_usage,tenant-dsk,-0.5183264377823035,0.4573656581850096,60,-5.9953608383696215,5.356213645716903,60
cpu_usage,tenant-mem,-3.881533753061189,2.834280427640042,60,-26.444528639930084,18.391253076723867,60
cpu_usage,tenant-ntk,-0.19153711800794854,0.3191508310444021,60,-1.2832879191090183,2.336377995926689,60
disk_io_total,tenant-cpu,0.1003780413008162,1.4521647217305227,60,13.56288119906183,54.444378974974754,60
disk_io_total,tenant-dsk,-0.2810662469642363,0.08939405500500812,60,-46.683457735336646,14.904460008660411,60
disk_io_total,tenant-mem,-0.025951168609659365,1.2050385270314308,60,3.2841465142445307,28.46542592975404,60
disk_io_total,tenant-ntk,0.30702461072304466,1.3023092963203646,60,14.300653491767774,45.53963408197337,60
memory_usage,tenant-cpu,0.3913518868010421,0.29327000437151224,60,7.905569554156359,5.891809284599472,60
memory_usage,tenant-dsk,0.47621471812081584,0.3149609305744339,60,4.8979298483505955,3.07074527792446,60
memory_usage,tenant-mem,0.3544597958082887,0.33678614054098843,60,6.961416450190158,6.679048316075329,60
memory_usage,tenant-ntk,0.4854558991453454,0.3616784838713206,60,4.406793895555145,3.2914227263747518,60
network_throughput,tenant-cpu,-0.4435270269807244,0.41529494576120585,48,-6.402473240073935,5.694062592379433,48
network_throughput,tenant-dsk,-0.30792842642748836,0.07065263065212839,48,-16.52134399765488,4.211953411031256,48
network_throughput,tenant-mem,-0.4609656301720538,0.4262343203841413,48,-6.809535926535244,6.104252683490242,48
network_throughput,tenant-ntk,0.05091944564186998,0.5783235781508961,48,1.9363049272867168,13.294195415548714,48
