,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,,0.014314916833677575,0.000602348610184872,0.10087822913207328
tenant-dsk,0.5189238006478888,,0.00024672362643971116,0.196240487920562
tenant-mem,0.16549513338467536,0.0025724696104746127,,0.33265225840735113
tenant-ntk,9.836290138330826e-06,0.06727127812583347,0.02742836933401099,
