tenant1,tenant2,correlation,metric,phase,round_id
tenant-cpu,tenant-dsk,0.2791586860439136,cpu_usage,1-Baseline,round-4
tenant-cpu,tenant-mem,0.2305175476727535,cpu_usage,1-Baseline,round-4
tenant-cpu,tenant-ntk,0.1222871051016903,cpu_usage,1-Baseline,round-4
tenant-dsk,tenant-mem,0.1634953605931761,cpu_usage,1-Baseline,round-4
tenant-dsk,tenant-ntk,0.08210969499905735,cpu_usage,1-Baseline,round-4
tenant-mem,tenant-ntk,0.27437074469173217,cpu_usage,1-Baseline,round-4
tenant-cpu,tenant-dsk,0.2650834624474231,cpu_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-mem,0.5617077452282043,cpu_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-nsy,-0.4580509713546973,cpu_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-ntk,0.2243103128635259,cpu_usage,2-CPU-Noise,round-4
tenant-dsk,tenant-mem,0.35086975214635174,cpu_usage,2-CPU-Noise,round-4
tenant-dsk,tenant-nsy,-0.2196828026766623,cpu_usage,2-CPU-Noise,round-4
tenant-dsk,tenant-ntk,0.36048932378609855,cpu_usage,2-CPU-Noise,round-4
tenant-mem,tenant-nsy,-0.47500043346370935,cpu_usage,2-CPU-Noise,round-4
tenant-mem,tenant-ntk,0.3310993558866711,cpu_usage,2-CPU-Noise,round-4
tenant-nsy,tenant-ntk,0.04538384348648757,cpu_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-dsk,0.1391316635261481,cpu_usage,3-Memory-Noise,round-4
tenant-cpu,tenant-mem,0.37532469242484046,cpu_usage,3-Memory-Noise,round-4
tenant-cpu,tenant-nsy,-0.253699243029894,cpu_usage,3-Memory-Noise,round-4
tenant-cpu,tenant-ntk,0.23068687897872264,cpu_usage,3-Memory-Noise,round-4
tenant-dsk,tenant-mem,0.07707297946493807,cpu_usage,3-Memory-Noise,round-4
tenant-dsk,tenant-nsy,-0.01819654692033187,cpu_usage,3-Memory-Noise,round-4
tenant-dsk,tenant-ntk,0.34250522436385655,cpu_usage,3-Memory-Noise,round-4
tenant-mem,tenant-nsy,-0.2510828778809609,cpu_usage,3-Memory-Noise,round-4
tenant-mem,tenant-ntk,0.23398620194850558,cpu_usage,3-Memory-Noise,round-4
tenant-nsy,tenant-ntk,0.18664736870769671,cpu_usage,3-Memory-Noise,round-4
tenant-cpu,tenant-dsk,0.155954744380364,cpu_usage,4-Network-Noise,round-4
tenant-cpu,tenant-mem,0.6932873730527607,cpu_usage,4-Network-Noise,round-4
tenant-cpu,tenant-nsy,-0.57596225880728,cpu_usage,4-Network-Noise,round-4
tenant-cpu,tenant-ntk,0.3811922443813206,cpu_usage,4-Network-Noise,round-4
tenant-dsk,tenant-mem,0.10782165333708219,cpu_usage,4-Network-Noise,round-4
tenant-dsk,tenant-nsy,0.1408257629627111,cpu_usage,4-Network-Noise,round-4
tenant-dsk,tenant-ntk,0.36641612540739976,cpu_usage,4-Network-Noise,round-4
tenant-mem,tenant-nsy,-0.5958461264450862,cpu_usage,4-Network-Noise,round-4
tenant-mem,tenant-ntk,0.3736668983898769,cpu_usage,4-Network-Noise,round-4
tenant-nsy,tenant-ntk,0.05698910297561171,cpu_usage,4-Network-Noise,round-4
tenant-cpu,tenant-dsk,0.23150205343315133,cpu_usage,5-Disk-Noise,round-4
tenant-cpu,tenant-mem,0.4010268386004532,cpu_usage,5-Disk-Noise,round-4
tenant-cpu,tenant-nsy,0.16766607571088357,cpu_usage,5-Disk-Noise,round-4
tenant-cpu,tenant-ntk,0.269122695749317,cpu_usage,5-Disk-Noise,round-4
tenant-dsk,tenant-mem,0.048233940723545546,cpu_usage,5-Disk-Noise,round-4
tenant-dsk,tenant-nsy,0.2800040562932273,cpu_usage,5-Disk-Noise,round-4
tenant-dsk,tenant-ntk,0.21603249731554908,cpu_usage,5-Disk-Noise,round-4
tenant-mem,tenant-nsy,0.20987396362552144,cpu_usage,5-Disk-Noise,round-4
tenant-mem,tenant-ntk,0.3578042358521772,cpu_usage,5-Disk-Noise,round-4
tenant-nsy,tenant-ntk,0.25052769112170137,cpu_usage,5-Disk-Noise,round-4
tenant-cpu,tenant-dsk,0.5068923057668604,cpu_usage,6-Combined-Noise,round-4
tenant-cpu,tenant-mem,0.6352932606437746,cpu_usage,6-Combined-Noise,round-4
tenant-cpu,tenant-nsy,-0.3360223660413781,cpu_usage,6-Combined-Noise,round-4
tenant-cpu,tenant-ntk,0.33107822712347884,cpu_usage,6-Combined-Noise,round-4
tenant-dsk,tenant-mem,0.40001006121593047,cpu_usage,6-Combined-Noise,round-4
tenant-dsk,tenant-nsy,-0.5558612691844577,cpu_usage,6-Combined-Noise,round-4
tenant-dsk,tenant-ntk,0.5052882035424247,cpu_usage,6-Combined-Noise,round-4
tenant-mem,tenant-nsy,-0.3872773768543226,cpu_usage,6-Combined-Noise,round-4
tenant-mem,tenant-ntk,0.17399275607310988,cpu_usage,6-Combined-Noise,round-4
tenant-nsy,tenant-ntk,-0.10645420915238511,cpu_usage,6-Combined-Noise,round-4
tenant-cpu,tenant-dsk,0.4300869742157952,cpu_usage,7-Recovery,round-4
tenant-cpu,tenant-mem,0.7809938041217547,cpu_usage,7-Recovery,round-4
tenant-cpu,tenant-nsy,-0.7864316078672682,cpu_usage,7-Recovery,round-4
tenant-cpu,tenant-ntk,0.4187539244723037,cpu_usage,7-Recovery,round-4
tenant-dsk,tenant-mem,0.356498381484519,cpu_usage,7-Recovery,round-4
tenant-dsk,tenant-nsy,-0.34458264364642344,cpu_usage,7-Recovery,round-4
tenant-dsk,tenant-ntk,0.4782294595194407,cpu_usage,7-Recovery,round-4
tenant-mem,tenant-nsy,-0.7675868157847855,cpu_usage,7-Recovery,round-4
tenant-mem,tenant-ntk,0.36532850506116976,cpu_usage,7-Recovery,round-4
tenant-nsy,tenant-ntk,-0.18206830399489857,cpu_usage,7-Recovery,round-4
tenant-cpu,tenant-dsk,0.17409606438091024,memory_usage,1-Baseline,round-4
tenant-cpu,tenant-mem,0.04160705231975896,memory_usage,1-Baseline,round-4
tenant-cpu,tenant-ntk,-0.021751322558547444,memory_usage,1-Baseline,round-4
tenant-dsk,tenant-mem,-0.0691808857831663,memory_usage,1-Baseline,round-4
tenant-dsk,tenant-ntk,0.04148788174268357,memory_usage,1-Baseline,round-4
tenant-mem,tenant-ntk,-0.01590401022003541,memory_usage,1-Baseline,round-4
tenant-cpu,tenant-dsk,0.13452410611701085,memory_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-mem,-0.11997945364525733,memory_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-nsy,0.026118989297355774,memory_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-ntk,0.11765733831185715,memory_usage,2-CPU-Noise,round-4
