tenant1,tenant2,covariance,metric,phase,round_id
tenant-cpu,tenant-dsk,0.009528683983401086,cpu_usage,1-Baseline,round-4
tenant-cpu,tenant-mem,0.020452507318208905,cpu_usage,1-Baseline,round-4
tenant-cpu,tenant-ntk,0.012288372460287252,cpu_usage,1-Baseline,round-4
tenant-dsk,tenant-mem,0.0053616665087638,cpu_usage,1-Baseline,round-4
tenant-dsk,tenant-ntk,0.003049719800660581,cpu_usage,1-Baseline,round-4
tenant-mem,tenant-ntk,0.026488910145363358,cpu_usage,1-Baseline,round-4
tenant-cpu,tenant-dsk,0.0060397843848412555,cpu_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-mem,0.03057897783777208,cpu_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-nsy,-0.0597283433699073,cpu_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-ntk,0.012259301131408955,cpu_usage,2-CPU-Noise,round-4
tenant-dsk,tenant-mem,0.008291363113476889,cpu_usage,2-CPU-Noise,round-4
tenant-dsk,tenant-nsy,-0.012434552908480494,cpu_usage,2-CPU-Noise,round-4
tenant-dsk,tenant-ntk,0.008552170138905153,cpu_usage,2-CPU-Noise,round-4
tenant-mem,tenant-nsy,-0.06423945850332557,cpu_usage,2-CPU-Noise,round-4
tenant-mem,tenant-ntk,0.01876791433371893,cpu_usage,2-CPU-Noise,round-4
tenant-nsy,tenant-ntk,0.006161877473785682,cpu_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-dsk,0.0031198646440933125,cpu_usage,3-Memory-Noise,round-4
tenant-cpu,tenant-mem,0.019570330652788296,cpu_usage,3-Memory-Noise,round-4
tenant-cpu,tenant-nsy,-0.02131619616199446,cpu_usage,3-Memory-Noise,round-4
tenant-cpu,tenant-ntk,0.012775490974435453,cpu_usage,3-Memory-Noise,round-4
tenant-dsk,tenant-mem,0.001673415307965585,cpu_usage,3-Memory-Noise,round-4
tenant-dsk,tenant-nsy,-0.0006366343707710494,cpu_usage,3-Memory-Noise,round-4
tenant-dsk,tenant-ntk,0.007898278981583517,cpu_usage,3-Memory-Noise,round-4
tenant-mem,tenant-nsy,-0.020426758259220034,cpu_usage,3-Memory-Noise,round-4
tenant-mem,tenant-ntk,0.01254690959555024,cpu_usage,3-Memory-Noise,round-4
tenant-nsy,tenant-ntk,0.016127531664674743,cpu_usage,3-Memory-Noise,round-4
tenant-cpu,tenant-dsk,0.0035731815090178066,cpu_usage,4-Network-Noise,round-4
tenant-cpu,tenant-mem,0.042446609777080785,cpu_usage,4-Network-Noise,round-4
tenant-cpu,tenant-nsy,-0.07613194120260082,cpu_usage,4-Network-Noise,round-4
tenant-cpu,tenant-ntk,0.019950023944674728,cpu_usage,4-Network-Noise,round-4
tenant-dsk,tenant-mem,0.0025016396941822637,cpu_usage,4-Network-Noise,round-4
tenant-dsk,tenant-nsy,0.007054139503745107,cpu_usage,4-Network-Noise,round-4
tenant-dsk,tenant-ntk,0.007267131138394064,cpu_usage,4-Network-Noise,round-4
tenant-mem,tenant-nsy,-0.0797570869285044,cpu_usage,4-Network-Noise,round-4
tenant-mem,tenant-ntk,0.01980369723550164,cpu_usage,4-Network-Noise,round-4
tenant-nsy,tenant-ntk,0.006520736199934763,cpu_usage,4-Network-Noise,round-4
tenant-cpu,tenant-dsk,0.005844071958311856,cpu_usage,5-Disk-Noise,round-4
tenant-cpu,tenant-mem,0.025397311956663678,cpu_usage,5-Disk-Noise,round-4
tenant-cpu,tenant-nsy,0.0039136813913208035,cpu_usage,5-Disk-Noise,round-4
tenant-cpu,tenant-ntk,0.016961302307717904,cpu_usage,5-Disk-Noise,round-4
tenant-dsk,tenant-mem,0.0010776397665432774,cpu_usage,5-Disk-Noise,round-4
tenant-dsk,tenant-nsy,0.0023057442775236575,cpu_usage,5-Disk-Noise,round-4
tenant-dsk,tenant-ntk,0.004803242413440925,cpu_usage,5-Disk-Noise,round-4
tenant-mem,tenant-nsy,0.004335697648126809,cpu_usage,5-Disk-Noise,round-4
tenant-mem,tenant-ntk,0.019957884487618573,cpu_usage,5-Disk-Noise,round-4
tenant-nsy,tenant-ntk,0.005150515705646935,cpu_usage,5-Disk-Noise,round-4
tenant-cpu,tenant-dsk,0.015535326078893985,cpu_usage,6-Combined-Noise,round-4
tenant-cpu,tenant-mem,0.025913844839206154,cpu_usage,6-Combined-Noise,round-4
tenant-cpu,tenant-nsy,-0.042038247477714626,cpu_usage,6-Combined-Noise,round-4
tenant-cpu,tenant-ntk,0.01739505953726064,cpu_usage,6-Combined-Noise,round-4
tenant-dsk,tenant-mem,0.01425185237980805,cpu_usage,6-Combined-Noise,round-4
tenant-dsk,tenant-nsy,-0.06074151589646678,cpu_usage,6-Combined-Noise,round-4
tenant-dsk,tenant-ntk,0.023188745403948323,cpu_usage,6-Combined-Noise,round-4
tenant-mem,tenant-nsy,-0.056324101319345704,cpu_usage,6-Combined-Noise,round-4
tenant-mem,tenant-ntk,0.010627281683776968,cpu_usage,6-Combined-Noise,round-4
tenant-nsy,tenant-ntk,-0.019942181918408755,cpu_usage,6-Combined-Noise,round-4
tenant-cpu,tenant-dsk,0.018620610024169006,cpu_usage,7-Recovery,round-4
tenant-cpu,tenant-mem,0.15695218318922993,cpu_usage,7-Recovery,round-4
tenant-cpu,tenant-nsy,-0.3367946794311645,cpu_usage,7-Recovery,round-4
tenant-cpu,tenant-ntk,0.047754584034716864,cpu_usage,7-Recovery,round-4
tenant-dsk,tenant-mem,0.015581571975360132,cpu_usage,7-Recovery,round-4
tenant-dsk,tenant-nsy,-0.03209457252546241,cpu_usage,7-Recovery,round-4
tenant-dsk,tenant-ntk,0.011861140138123876,cpu_usage,7-Recovery,round-4
tenant-mem,tenant-nsy,-0.331854614568815,cpu_usage,7-Recovery,round-4
tenant-mem,tenant-ntk,0.04205869842219113,cpu_usage,7-Recovery,round-4
tenant-nsy,tenant-ntk,-0.0446674443374391,cpu_usage,7-Recovery,round-4
tenant-cpu,tenant-dsk,425927229409800.1,memory_usage,1-Baseline,round-4
tenant-cpu,tenant-mem,87041414133191.69,memory_usage,1-Baseline,round-4
tenant-cpu,tenant-ntk,-32810784305374.363,memory_usage,1-Baseline,round-4
tenant-dsk,tenant-mem,-207647462597632.5,memory_usage,1-Baseline,round-4
tenant-dsk,tenant-ntk,89791189623790.5,memory_usage,1-Baseline,round-4
tenant-mem,tenant-ntk,-29432804626971.254,memory_usage,1-Baseline,round-4
tenant-cpu,tenant-dsk,271646835140737.0,memory_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-mem,-265709382400331.12,memory_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-nsy,56029724087358.7,memory_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-ntk,217187507634215.7,memory_usage,2-CPU-Noise,round-4
tenant-dsk,tenant-mem,31820771424863.65,memory_usage,2-CPU-Noise,round-4
tenant-dsk,tenant-nsy,-225913132790323.12,memory_usage,2-CPU-Noise,round-4
tenant-dsk,tenant-ntk,-137115540244775.19,memory_usage,2-CPU-Noise,round-4
tenant-mem,tenant-nsy,257961351130619.84,memory_usage,2-CPU-Noise,round-4
tenant-mem,tenant-ntk,-69468333095825.445,memory_usage,2-CPU-Noise,round-4
tenant-nsy,tenant-ntk,64596693468726.4,memory_usage,2-CPU-Noise,round-4
tenant-cpu,tenant-dsk,140857415959769.0,memory_usage,3-Memory-Noise,round-4
tenant-cpu,tenant-mem,-237968508507568.72,memory_usage,3-Memory-Noise,round-4
tenant-cpu,tenant-nsy,-514427205795001.75,memory_usage,3-Memory-Noise,round-4
tenant-cpu,tenant-ntk,236876226933383.8,memory_usage,3-Memory-Noise,round-4
tenant-dsk,tenant-mem,-383828080387305.0,memory_usage,3-Memory-Noise,round-4
tenant-dsk,tenant-nsy,99428993526541.89,memory_usage,3-Memory-Noise,round-4
tenant-dsk,tenant-ntk,-23133304635163.3,memory_usage,3-Memory-Noise,round-4
tenant-mem,tenant-nsy,58753571057426.84,memory_usage,3-Memory-Noise,round-4
tenant-mem,tenant-ntk,276090049518667.22,memory_usage,3-Memory-Noise,round-4
tenant-nsy,tenant-ntk,83877531423307.89,memory_usage,3-Memory-Noise,round-4
tenant-cpu,tenant-dsk,-371763459333235.94,memory_usage,4-Network-Noise,round-4
tenant-cpu,tenant-mem,217263577190118.53,memory_usage,4-Network-Noise,round-4
tenant-cpu,tenant-nsy,140939810421791.97,memory_usage,4-Network-Noise,round-4
tenant-cpu,tenant-ntk,10772443343163.42,memory_usage,4-Network-Noise,round-4
tenant-dsk,tenant-mem,-130204948410739.72,memory_usage,4-Network-Noise,round-4
tenant-dsk,tenant-nsy,-358674107874406.56,memory_usage,4-Network-Noise,round-4
tenant-dsk,tenant-ntk,-296588255655408.3,memory_usage,4-Network-Noise,round-4
tenant-mem,tenant-nsy,-267261988653633.75,memory_usage,4-Network-Noise,round-4
tenant-mem,tenant-ntk,54367102662203.97,memory_usage,4-Network-Noise,round-4
tenant-nsy,tenant-ntk,-183598445593052.66,memory_usage,4-Network-Noise,round-4
tenant-cpu,tenant-dsk,-29741931916642.645,memory_usage,5-Disk-Noise,round-4
tenant-cpu,tenant-mem,141535005409255.75,memory_usage,5-Disk-Noise,round-4
tenant-cpu,tenant-nsy,79583856311421.77,memory_usage,5-Disk-Noise,round-4
tenant-cpu,tenant-ntk,-263653519125399.88,memory_usage,5-Disk-Noise,round-4
tenant-dsk,tenant-mem,134444273714109.11,memory_usage,5-Disk-Noise,round-4
tenant-dsk,tenant-nsy,141645228342349.28,memory_usage,5-Disk-Noise,round-4
tenant-dsk,tenant-ntk,-28534158047412.133,memory_usage,5-Disk-Noise,round-4
tenant-mem,tenant-nsy,344667399444949.7,memory_usage,5-Disk-Noise,round-4
tenant-mem,tenant-ntk,327156187806682.2,memory_usage,5-Disk-Noise,round-4
tenant-nsy,tenant-ntk,20622450421972.48,memory_usage,5-Disk-Noise,round-4
tenant-cpu,tenant-dsk,520025945805829.5,memory_usage,6-Combined-Noise,round-4
tenant-cpu,tenant-mem,152544544851844.38,memory_usage,6-Combined-Noise,round-4
tenant-cpu,tenant-nsy,-113577487694367.1,memory_usage,6-Combined-Noise,round-4
tenant-cpu,tenant-ntk,182346033641288.72,memory_usage,6-Combined-Noise,round-4
tenant-dsk,tenant-mem,-152201809611907.53,memory_usage,6-Combined-Noise,round-4
tenant-dsk,tenant-nsy,112639831870504.11,memory_usage,6-Combined-Noise,round-4
tenant-dsk,tenant-ntk,-185966366775833.62,memory_usage,6-Combined-Noise,round-4
tenant-mem,tenant-nsy,-548478490446502.25,memory_usage,6-Combined-Noise,round-4
tenant-mem,tenant-ntk,186135895608242.2,memory_usage,6-Combined-Noise,round-4
tenant-nsy,tenant-ntk,-690998947720623.4,memory_usage,6-Combined-Noise,round-4
